,WILAYAH,SLTA SEDERAJAT_P,D1/D2_P,D3/SARJANA MUDA_P,D4/S1_P,S2_P,S3_P,TOTAL,proxy_tingkat_literasi_digital
0,Karangpilang,11443,455,793,4473,272,15,17451,1.1648482947130934
1,Jambangan,7866,267,754,4244,315,17,13463,0.898650655648523
2,Gayungan,6242,260,552,4016,336,19,11425,0.7626148511315736
3,Wonocolo,11416,361,859,5488,391,22,18537,1.2373384241073067
4,Tenggilis Mejoyo,8394,258,709,4412,322,15,14110,0.9418376848548362
5,Gunung Anyar,7761,339,739,5470,378,22,14709,0.9818207304415157
6,Rungkut,16482,529,1382,10432,781,69,29675,1.9807961231798201
7,Sukolilo,13340,585,1005,9154,912,87,25083,1.6742816902348585
8,Mulyorejo,11457,381,774,7691,489,47,20839,1.3909961385322418
9,Gubeng,21348,353,1755,10091,531,33,34111,2.276897609360972
10,Wonokromo,26226,664,1324,8720,446,15,37395,2.496103488670914
11,Dukuh Pakis,8947,235,618,3886,188,13,13887,0.9269525109552877
12,Wiyung,10276,268,799,5263,313,14,16933,1.1302719714845457
13,Lakarsantri,7655,209,408,3153,161,4,11590,0.7736285448240646
14,Sambikerep,8725,194,635,3600,171,4,13329,0.8897062013770454
15,Tandes,13288,315,980,4757,200,4,19544,1.304555330460873
16,Sukomanunggal,15343,379,670,4844,210,7,21453,1.4319804290000566
17,Sawahan,28080,342,1273,7324,399,6,37424,2.498039228774443
18,Tegalsari,17627,293,745,4078,173,8,22924,1.5301691770100827
19,Genteng,8723,173,358,2850,115,5,12224,0.815947828466727
20,Tambaksari,30158,741,1570,8604,474,30,41577,2.775250561531504
21,Kenjeran,18022,385,629,2974,135,3,22148,1.4783714418260037
22,Bulak,5269,120,294,1710,95,4,7492,0.5000884432978336
23,Simokerto,10635,112,338,2345,84,1,13515,0.9021216379031262
24,Semampir,14177,249,474,2548,109,3,17560,1.1721240075160115
25,Pabean Cantian,9082,123,390,2206,92,0,11893,0.7938536914230027
26,Bubutan,14152,188,702,3343,148,7,18540,1.2375386730835338
27,Krembangan,12537,388,408,3102,162,4,16601,1.1081110847820792
28,Asemrowo,3920,92,118,769,49,0,4948,0.3302773114572452
29,Benowo,9388,121,546,2155,77,3,12290,0.8203533059437234
30,Pakal,8133,146,494,2502,99,5,11379,0.7595443668294246
