kecamatan.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Banyaknya Penduduk Menurut Pendidikan dan Jenis Kelamin per Kecamatan Hasil Registrasi (Jiwa),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tidak/Belum Sekolah,,,Belum Tamat SD/Sederajat,,,Tamat SD/Sederajat,,,SLTP/Sederajat,,,SLTA Sederajat,,,D1/D2,,,D3/Sarjana Muda,,,D4/S1,,,S2,,,S3,,
,2022,,,2022,,,2022,,,2022,,,2022,,,2022,,,2022,,,2022,,,2022,,,2022,,
,L,P,Total,L,P,Total,L,P,Total,L,P,Total,L,P,Total,L,P,Total,L,P,Total,L,P,Total,L,P,Total,L,P,Total
Karangpilang,9434,8951,18385,2897,2963,5860,2997,4132,7129,3806,4124,7930,12289,11513,23802,327,440,767,566,814,1380,4403,4608,4411,351,279,630,22,15,37
Jambangan,6210,5788,11998,2369,2268,4637,1704,2561,4265,2547,2820,5367,8249,7891,16140,217,267,484,549,774,1323,4159,4399,8767,475,345,820,29,18,47
Gayungan,5780,5396,11176,1445,1425,2870,1377,1938,3315,1659,1966,3625,5919,6280,12199,189,264,453,402,573,975,3982,4091,8381,519,357,876,34,21,55
Wonocolo,10344,9814,20158,3308,3178,6486,2980,4184,7164,4087,4657,8744,11673,11290,22963,304,349,653,623,847,1470,5373,5538,9464,515,415,930,57,23,80
Tenggilis Mejoyo,6836,6472,13308,2484,2362,4846,2308,3212,5520,3141,3570,6711,8815,8435,17250,174,256,430,451,728,1179,4229,4442,9767,409,322,731,31,18,49
Gunung Anyar,7557,6994,14551,2663,2502,5165,2092,2873,4965,2830,3333,6163,7875,7808,15683,256,333,589,589,755,1344,5481,5596,9923,537,393,930,45,23,68
Rungkut,14668,13831,28499,4613,4425,9038,4448,5928,10376,5769,6694,12463,16852,16382,33234,424,515,939,1093,1432,2525,10172,10701,15768,1087,839,1926,126,68,194
Sukolilo,16730,15747,32477,3314,3319,6633,5928,7197,13125,5550,5955,11505,13163,13459,26622,478,572,1050,764,1038,1802,8889,9353,19590,1140,954,2094,228,98,326
Mulyorejo,12194,11288,23482,2494,2386,4880,3787,4917,8704,4080,4595,8675,11071,11478,22549,290,373,663,521,779,1300,7502,7746,16855,694,509,1203,65,55,120
Gubeng,15953,14878,30831,5703,5474,11177,4403,6729,11132,6674,7722,14396,20984,20933,41917,251,337,588,1198,1760,2958,9486,10042,17232,721,557,1278,60,35,95
Wonokromo,19283,18308,37591,6452,6088,12540,5812,8810,14622,7929,9556,17485,26529,25414,51943,553,633,1186,926,1328,2254,8249,8699,18291,493,449,942,29,19,48
Dukuh Pakis,7799,7175,14974,2169,2097,4266,2765,3640,6405,2985,3216,6201,8991,8906,17897,200,233,433,440,604,1044,3648,3897,12347,307,188,495,19,14,33
Wiyung,9742,9083,18825,3037,2913,5950,3536,4579,8115,3566,3684,7250,10593,10254,20847,228,263,491,586,815,1401,5159,5348,9056,472,329,801,24,13,37
Lakarsantri,10117,9664,19781,1913,1860,3773,3879,4910,8789,3080,3092,6172,8772,7867,16639,145,208,353,308,437,745,3068,3292,8416,210,178,388,12,5,17
Sambikerep,8544,8276,16820,2748,2569,5317,3775,4845,8620,3700,4222,7922,9894,8906,18800,154,189,343,456,651,1107,3655,3747,6947,270,176,446,14,5,19
Tandes,12851,12326,25177,3811,3568,7379,3782,5436,9218,4818,5626,10444,14035,13264,27299,256,309,565,735,994,1729,4643,4853,8390,261,208,469,3,5,8
Sukomanunggal,15111,14206,29317,3631,3609,7240,5355,7164,10946,5662,6161,11823,16225,15201,31426,245,372,617,484,684,1168,4742,4909,9595,266,217,483,18,9,27
Sawahan,32401,30602,63003,4925,4789,9714,11784,15886,21241,11405,12734,24139,29137,27687,56824,301,325,626,964,1285,2249,7062,7362,11971,458,409,867,27,5,32
Tegalsari,11176,10786,21962,4401,4143,8544,4139,6061,17845,5722,6457,12179,18108,17236,35344,226,289,515,656,744,1400,3824,4082,11186,231,177,408,19,7,26
Genteng,7239,7016,14255,2464,2499,4963,3287,4325,8464,3489,3880,7369,8985,8601,17586,120,172,292,255,374,629,2719,2876,6801,155,119,274,20,6,26
Tambaksari,38355,35897,74252,4645,4633,9278,13715,17742,21029,13157,14382,27539,31349,30021,61370,609,725,1334,1077,1605,2682,8231,8876,11107,567,483,1050,35,32,67
Kenjeran,28414,27022,55436,7402,7340,14742,17203,20152,33867,11095,11080,22175,21378,18215,39593,335,373,708,353,674,1027,2994,3202,11870,170,148,318,8,3,11
Bulak,7190,7014,14204,1595,1494,3089,3544,4415,21618,2854,2817,5671,5805,5268,11073,116,120,236,247,312,559,1542,1766,4744,139,97,236,11,4,15
Simokerto,13332,12917,26249,4031,3657,7688,8125,10189,13733,6171,6430,12601,11846,10539,22385,83,113,196,240,351,591,2189,2394,3955,132,87,219,5,1,6
Semampir,27462,26765,54227,9184,9139,18323,20256,24461,32586,14141,13012,27153,16423,13779,30202,239,231,470,367,484,851,2446,2566,4840,149,114,263,4,4,8
Pabean Cantian,11005,10421,21426,2121,2060,4181,6489,8644,28900,4681,4924,9605,9874,8900,18774,105,114,219,346,398,744,2319,2189,4885,116,96,212,7,1,8
Bubutan,12781,11939,24720,4205,4124,8329,6127,8383,14872,6078,6587,12665,15176,13871,29047,138,188,326,509,708,1217,3147,3387,5336,188,153,341,10,8,18
Krembangan,19597,18441,38038,3182,3161,6343,9431,12461,18588,7032,7182,14214,13727,12389,26116,368,373,741,276,423,699,3054,3168,6441,226,166,392,12,5,17
Asemrowo,8960,8375,17335,1119,1137,2256,5289,5987,15418,2802,2839,5641,4809,4032,8841,63,87,150,90,130,220,768,838,3936,65,45,110,2,0,2
Benowo,9084,8549,17633,3128,3033,6161,4728,6270,11559,4465,4905,9370,11287,9681,20968,90,122,212,348,571,919,2204,2341,3042,122,94,216,8,3,11
Pakal,8243,7949,16192,2371,2183,4554,3373,4294,9022,3714,3960,7674,9709,8401,18110,126,146,272,361,529,890,2532,2708,4873,154,113,267,6,5,11
Kota Surabaya,424392,401890,826282,109824,106398,216222,178418,232325,411152,168689,182182,350871,419542,393901,813443,7610,9291,16901,16780,23601,40381,141871,149016,144579,11599,9016,20615,990,528,1518
