,WILAYAH,SLTA/SEDERAJAT_P,DIPLOMA I/II_P,AKADEMI/DIPLOMA III/S.MUDA_P,DIPLOMA IV/STRATA I_P,STRATA II_P,STRATA III_P,TOTAL,proxy_tingkat_literasi_digital
1,KARANG PILANG,11583,435,841,4784,291,16,17950,1.1785445795156477
6,WONOCOLO,11211,341,858,5663,436,24,18533,1.2168226569450418
12,RUNGKUT,16466,523,1444,11003,883,71,30390,1.9953186502217568
19,WONOKROMO,25120,629,1365,8833,455,19,36421,2.391296497523087
26,TEGALSARI,16982,291,747,4109,178,7,22314,1.4650720750591733
32,SAWAHAN,27780,321,1303,7633,419,9,37465,2.4598424886659465
39,GENTENG,8524,165,381,2933,121,6,12130,0.7964203760180951
45,GUBENG,20732,341,1759,10146,586,35,33599,2.206012218782521
52,SUKOLILO,13560,562,1062,9572,980,103,25839,1.6965132807857841
60,TAMBAKSARI,30080,715,1638,9135,497,33,42098,2.7640317386322977
69,SIMOKERTO,10401,111,363,2398,89,1,13363,0.8773755552126796
75,PABEAN CANTIAN,8799,112,401,2209,100,1,11622,0.7630665795616076
80,BUBUTAN,13715,187,707,3463,155,11,18238,1.1974538184516093
86,TANDES,13249,310,996,4974,216,6,19751,1.296792979945045
93,KREMBANGAN,12453,372,434,3219,163,7,16648,1.093059061825989
99,SEMAMPIR,13680,231,499,2629,115,4,17158,1.126544172441754
105,KENJERAN,18268,369,718,3337,155,3,22850,1.500264269745546
110,LAKARSANTRI,8035,208,457,3458,191,5,12354,0.811127561857176
117,BENOWO,10124,124,620,2644,105,3,13620,0.8942494246798396
122,WIYUNG,10379,266,843,5579,346,14,17427,1.144205926864579
127,DUKUH PAKIS,8893,236,606,3951,200,13,13899,0.9125677498990523
132,GAYUNGAN,6281,254,595,4206,385,23,11744,0.7710767432775357
137,JAMBANGAN,7943,261,800,4572,356,23,13955,0.9162445463588225
142,TENGGILIS MEJOYO,8446,256,737,4538,327,20,14324,0.9404720087455231
147,GUNUNG ANYAR,7945,324,780,5803,423,29,15304,1.0048159467915028
152,MULYOREJO,11499,367,796,7938,523,54,21177,1.3904199755099094
159,SUKOMANUNGGAL,15238,367,708,5053,226,11,21603,1.418389891436019
166,ASEM ROWO,4070,86,136,876,48,0,5216,0.34246732739574476
170,BULAK,5384,118,318,1837,98,7,7762,0.5096302521560143
175,PAKAL,8774,151,563,2969,120,4,12581,0.8260317189351736
180,SAMBIKEREP,9146,190,668,3951,189,6,14150,0.9290476768883797
