Kecamatan,Tahun,Jumlah Kepala Keluarga Perempuan
Karang Pilang,2023,5581
Wonocolo,2023,6368
Rungkut,2023,8569
Wonokromo,2023,14625
Tegalsari,2023,9786
Sawahan,2023,18578
Genteng,2023,6275
Gubeng,2023,12944
Sukolilo,2023,8721
Tambaksari,2023,19975
Simokerto,2023,9504
Pabean Cantian,2023,7303
Bubutan,2023,9145
Tandes,2023,7419
Krembangan,2023,10257
Semampir,2023,15026
Kenjeran,2023,11261
Lakarsantri,2023,4014
Benowo,2023,4607
Wiyung,2023,5031
Dukuh Pakis,2023,4912
Gayungan,2023,3520
Jambangan,2023,3797
Tenggilis Mejoyo,2023,4569
Gunung Anyar,2023,4262
Mulyorejo,2023,7169
Sukomanunggal,2023,7979
Asem Rowo,2023,3145
Bulak,2023,3337
Pakal,2023,3721
Sambikerep,2023,4450
Kota Surabaya,2023,245850
Karang Pilang,2024,5643
Wonocolo,2024,6398
Rungkut,2024,8771
Wonokromo,2024,14629
Tegalsari,2024,9795
Sawahan,2024,18590
Genteng,2024,6196
Gubeng,2024,12863
Sukolilo,2024,8827
Tambaksari,2024,20081
Simokerto,2024,9451
Pabean Cantian,2024,7297
Bubutan,2024,9131
Tandes,2024,7510
Krembangan,2024,10207
Semampir,2024,15100
Kenjeran,2024,11564
Lakarsantri,2024,4140
Benowo,2024,4696
Wiyung,2024,5173
Dukuh Pakis,2024,4967
Gayungan,2024,3529
Jambangan,2024,3818
Tenggilis Mejoyo,2024,4605
Gunung Anyar,2024,4363
Mulyorejo,2024,7329
Sukomanunggal,2024,8072
Asem Rowo,2024,3177
Bulak,2024,3362
Pakal,2024,3884
Sambikerep,2024,4575
Kota Surabaya,2024,247743
Karang Pilang,2025,5650
Wonocolo,2025,6348
Rungkut,2025,8738
Wonokromo,2025,14375
Tegalsari,2025,9702
Sawahan,2025,18381
Genteng,2025,6144
Gubeng,2025,12693
Sukolilo,2025,8830
Tambaksari,2025,19975
Simokerto,2025,9292
Pabean Cantian,2025,7177
Bubutan,2025,8971
Tandes,2025,7452
Krembangan,2025,10092
Semampir,2025,14948
Kenjeran,2025,11654
Lakarsantri,2025,4176
Benowo,2025,4727
Wiyung,2025,5178
Dukuh Pakis,2025,4921
Gayungan,2025,3508
Jambangan,2025,3820
Tenggilis Mejoyo,2025,4581
Gunung Anyar,2025,4365
Mulyorejo,2025,7322
Sukomanunggal,2025,8009
Asem Rowo,2025,3167
Bulak,2025,3399
Pakal,2025,3878
Sambikerep,2025,4662
