Kecamatan,Tahun,Sex Ratio
Karangpilang,2020,99.2
Jambangan,2020,99.36
Gayungan,2020,98.26
Wonocolo,2020,98.61
Tenggilis Mejoyo,2020,98.22
Gunung Anyar,2020,98.87
Rungkut,2020,98.2
Sukolilo,2020,98.22
Mulyorejo,2020,97.65
Gubeng,2020,96.32
Wonokromo,2020,97.2
Dukuh Pakis,2020,98.36
Wiyung,2020,99.53
Lakarsantri,2020,100.25
Sambikerep,2020,99.72
Tandes,2020,97.91
Sukomanunggal,2020,99.15
Sawahan,2020,98.15
Tegalsari,2020,97.7
Genteng,2020,96.77
Tambaksari,2020,98.34
Kenjeran,2020,101.21
Bulak,2020,99.52
Simokerto,2020,98.96
Semampir,2020,100.65
Pabean Cantian,2020,99.45
Bubutan,2020,98.94
Krembangan,2020,99.7
Asemrowo,2020,103.31
Benowo,2020,99.83
Pakal,2020,101.86
Kota Surabaya (Hasil Registrasi),2020,98.88
Kota Surabaya (Hasil Proyeksi),2020,97.66
Karangpilang,2021,98.48
Jambangan,2021,98.0
Gayungan,2021,97.9
Wonocolo,2021,96.82
Tenggilis Mejoyo,2021,97.32
Gunung Anyar,2021,97.83
Rungkut,2021,95.96
Sukolilo,2021,96.18
Mulyorejo,2021,97.84
Gubeng,2021,97.98
Wonokromo,2021,99.03
Dukuh Pakis,2021,98.5
Wiyung,2021,98.02
Lakarsantri,2021,97.17
Sambikerep,2021,98.89
Tandes,2021,100.43
Sukomanunggal,2021,101.46
Sawahan,2021,100.51
Tegalsari,2021,99.82
Genteng,2021,99.56
Tambaksari,2021,98.06
Kenjeran,2021,96.2
Bulak,2021,98.4
Simokerto,2021,97.77
Semampir,2021,98.13
Pabean Cantian,2021,97.31
Bubutan,2021,98.71
Krembangan,2021,102.47
Asemrowo,2021,99.49
Benowo,2021,101.57
Pakal,2021,99.29
Kota Surabaya,2021,98.48
Karangpilang,2022,101.0
Jambangan,2022,98.0
Gayungan,2022,96.0
Wonocolo,2022,98.0
Tenggilis Mejoyo,2022,97.0
Gunung Anyar,2022,100.0
Rungkut,2022,97.0
Sukolilo,2022,98.0
Mulyorejo,2022,97.0
Gubeng,2022,95.0
Wonokromo,2022,96.0
Dukuh Pakis,2022,97.0
Wiyung,2022,99.0
Lakarsantri,2022,101.0
Sambikerep,2022,100.0
Tandes,2022,97.0
Sukomanunggal,2022,99.0
Sawahan,2022,97.0
Tegalsari,2022,97.0
Genteng,2022,95.0
Tambaksari,2022,98.0
Kenjeran,2022,101.0
Bulak,2022,99.0
Simokerto,2022,99.0
Semampir,2022,101.0
Pabean Cantian,2022,98.0
Bubutan,2022,98.0
Krembangan,2022,98.0
Asemrowo,2022,102.0
Benowo,2022,100.0
Pakal,2022,102.0
Kota Surabaya,2022,98.0
Karangpilang,2023,101.0
Jambangan,2023,98.0
Gayungan,2023,96.0
Wonocolo,2023,98.0
Tenggilis Mejoyo,2023,97.0
Gunung Anyar,2023,99.0
Rungkut,2023,97.0
Sukolilo,2023,98.0
Mulyorejo,2023,96.0
Gubeng,2023,95.0
Wonokromo,2023,96.0
Dukuh Pakis,2023,97.0
Wiyung,2023,99.0
Lakarsantri,2023,102.0
Sambikerep,2023,100.0
Tandes,2023,97.0
Sukomanunggal,2023,99.0
Sawahan,2023,97.0
Tegalsari,2023,97.0
Genteng,2023,95.0
Tambaksari,2023,98.0
Kenjeran,2023,101.0
Bulak,2023,98.0
Simokerto,2023,99.0
Semampir,2023,101.0
Pabean Cantian,2023,98.0
Bubutan,2023,98.0
Krembangan,2023,98.0
Asemrowo,2023,102.0
Benowo,2023,100.0
Pakal,2023,102.0
Kota Surabaya,2023,98.0
Karangpilang,2024,98.0
Jambangan,2024,98.0
Gayungan,2024,95.0
Wonocolo,2024,97.0
Tenggilis Mejoyo,2024,97.0
Gunung Anyar,2024,98.0
Rungkut,2024,97.0
Sukolilo,2024,97.0
Mulyorejo,2024,97.0
Gubeng,2024,95.0
Wonokromo,2024,96.0
Dukuh Pakis,2024,98.0
Wiyung,2024,99.0
Lakarsantri,2024,100.0
Sambikerep,2024,99.0
Tandes,2024,97.0
Sukomanunggal,2024,99.0
Sawahan,2024,98.0
Tegalsari,2024,97.0
Genteng,2024,96.0
Tambaksari,2024,98.0
Kenjeran,2024,101.0
Bulak,2024,99.0
Simokerto,2024,99.0
Semampir,2024,100.0
Pabean Cantian,2024,98.0
Bubutan,2024,98.0
Krembangan,2024,99.0
Asemrowo,2024,102.0
Benowo,2024,100.0
Pakal,2024,101.0
Kota Surabaya,2024,98.0
Karangpilang,2025,97.59
Jambangan,2025,97.97
Gayungan,2025,95.33
Wonocolo,2025,97.38
Tenggilis Mejoyo,2025,96.77
Gunung Anyar,2025,97.55
Rungkut,2025,97.46
Sukolilo,2025,97.08
Mulyorejo,2025,96.26
Gubeng,2025,95.47
Wonokromo,2025,96.19
Dukuh Pakis,2025,97.84
Wiyung,2025,98.94
Lakarsantri,2025,99.51
Sambikerep,2025,98.63
Tandes,2025,96.6
Sukomanunggal,2025,98.69
Sawahan,2025,97.64
Tegalsari,2025,97.05
Genteng,2025,96.01
Tambaksari,2025,97.89
Kenjeran,2025,101.19
Bulak,2025,98.98
Simokerto,2025,98.84
Semampir,2025,100.39
Pabean Cantian,2025,98.48
Bubutan,2025,98.24
Krembangan,2025,98.83
Asemrowo,2025,101.78
Benowo,2025,99.94
Pakal,2025,100.74
Kota Surabaya,2025,98.13
