Kecamatan,Tahun,Keluarga Miskin,Jumlah Penduduk,Rasio Kemiskinan
TAMBAKSARI,2023,19654,226995,8.658340492081324
WONOKROMO,2023,11973,154995,7.724765315010161
SUKOMANUNGGAL,2023,3410,104786,3.2542515221499055
SEMAMPIR,2023,15171,182371,8.318756819889126
GUBENG,2023,9613,133804,7.184389106454217
SIMOKERTO,2023,9686,92683,10.450675959992664
SAWAHAN,2023,13321,199336,6.68268651924389
TEGALSARI,2023,10882,98317,11.0682791378907
KREMBANGAN,2023,11512,115320,9.982656954561222
KENJERAN,2023,5745,181300,3.1687810259238827
GENTENG,2023,4429,58742,7.539750093629771
WONOCOLO,2023,5509,79986,6.887455304678319
SUKOLILO,2023,4365,115099,3.7923874230010686
DUKUH PAKIS,2023,3154,59532,5.29799099643889
PABEAN CANTIAN,2023,10487,74490,14.078399785206066
BUBUTAN,2023,4253,97273,4.372230732063368
KARANG PILANG,2023,6074,75572,8.037368337479489
SAMBIKEREP,2023,4628,67943,6.811592069823234
ASEM ROWO,2023,3607,48022,7.511140727166715
MULYOREJO,2023,2468,87556,2.8187674174242767
BULAK,2023,1486,47082,3.1561955736799625
WIYUNG,2023,1328,73382,1.8097081028045026
RUNGKUT,2023,1462,121941,1.1989404712114875
TENGGILIS MEJOYO,2023,1526,58990,2.5868791320562807
TANDES,2023,1733,91922,1.8852940536541851
JAMBANGAN,2023,1853,54200,3.418819188191882
PAKAL,2023,1542,62715,2.458741927768476
GUNUNG ANYAR,2023,968,61565,1.572321936165029
GAYUNGAN,2023,689,43999,1.5659446805609218
LAKARSANTRI,2023,1041,64062,1.6249882925915518
BENOWO,2023,816,73306,1.1131421711728917
ASEM ROWO,2024,447,48841,0.9152146761941812
BENOWO,2024,216,74933,0.28825751004230443
BUBUTAN,2024,710,96704,0.7341992058239577
BULAK,2024,267,47839,0.55812203432346
DUKUH PAKIS,2024,1499,59345,2.525907827112646
GAYUNGAN,2024,221,43846,0.5040368562696711
GENTENG,2024,1095,58216,1.8809262058540606
GUBENG,2024,1513,132382,1.1429046244957775
GUNUNG ANYAR,2024,123,62342,0.1972987712938308
JAMBANGAN,2024,1645,54212,3.034383531321479
KARANG PILANG,2024,2667,75503,3.532309974438102
KENJERAN,2024,4298,185294,2.3195570282901765
KREMBANGAN,2024,7064,114866,6.149774519875333
LAKARSANTRI,2024,393,65013,0.6044944857182409
MULYOREJO,2024,719,88214,0.8150633686262951
PABEAN CANTIAN,2024,3736,73931,5.053360565933099
PAKAL,2024,762,64515,1.1811206696117182
RUNGKUT,2024,60,123653,0.04852288258271129
SAMBIKEREP,2024,2488,69076,3.601829868550582
SAWAHAN,2024,5302,198516,2.6708174655947126
SEMAMPIR,2024,8130,183295,4.4354728716004255
SIMOKERTO,2024,4237,92057,4.60258318215888
SUKOLILO,2024,2409,115913,2.078282850068586
SUKOMANUNGGAL,2024,1161,104166,1.1145671332296527
TAMBAKSARI,2024,4862,227025,2.1416143596520207
TANDES,2024,2165,91784,2.358798919201604
TEGALSARI,2024,5762,97511,5.909076924654654
TENGGILIS MEJOYO,2024,282,58932,0.47851761352066785
WIYUNG,2024,586,76501,0.7660030587835454
WONOCOLO,2024,2646,80034,3.306094909663393
WONOKROMO,2024,5127,153563,3.338694867904378
ASEM ROWO,2025,371,48849,0.7594833056971484
BENOWO,2025,196,75716,0.25886206350044905
BUBUTAN,2025,702,95522,0.7349092355687695
BULAK,2025,254,48118,0.527868988736024
DUKUH PAKIS,2025,1278,59185,2.159330911548534
GAYUNGAN,2025,202,43480,0.46458141674333026
GENTENG,2025,890,57255,1.5544493930661076
GUBENG,2025,1040,131164,0.7929004909883809
GUNUNG ANYAR,2025,119,62669,0.18988654677751363
JAMBANGAN,2025,1551,54140,2.864794975988179
KARANG PILANG,2025,2474,75164,3.29146932041935
KENJERAN,2025,4020,186189,2.1590964020430854
KREMBANGAN,2025,6739,113890,5.917113003775573
LAKARSANTRI,2025,361,65497,0.5511702826083638
MULYOREJO,2025,649,87932,0.7380703270709184
PABEAN CANTIAN,2025,2760,72505,3.8066340252396387
PAKAL,2025,685,65360,1.0480416156670747
RUNGKUT,2025,53,123956,0.04275710736067637
SAMBIKEREP,2025,2401,69584,3.4505058634168773
SAWAHAN,2025,4702,196811,2.3890941055123953
SEMAMPIR,2025,7746,181769,4.261452722961561
SIMOKERTO,2025,3060,90663,3.375136494490586
SUKOLILO,2025,2244,115944,1.9354170979093355
SUKOMANUNGGAL,2025,951,102681,0.9261693984281415
TAMBAKSARI,2025,4698,225939,2.0793222949557184
TANDES,2025,2,90999,0.002197826349740107
TEGALSARI,2025,5564,96237,5.781560106819622
TENGGILIS MEJOYO,2025,182,58645,0.31034188762895387
WIYUNG,2025,562,76770,0.7320567930181061
WONOCOLO,2025,2430,79530,3.055450773293097
WONOKROMO,2025,4580,151571,3.021686206464297
