Kecamatan,Jumlah Penduduk
Karangpilang,75572
Jambangan,54200
Gayungan,43999
Wonocolo,79986
Tenggilis Mejoyo,58990
Gunung Anyar,61565
Rungkut,121941
Sukolilo,115099
Mulyorejo,87556
Gubeng,133804
Wonokromo,154995
Dukuh Pakis,59532
Wiyung,73382
Lakarsantri,64062
Sambikerep,67943
Tandes,91922
Sukomanunggal,104786
Sawahan,199336
Tegalsari,98317
Genteng,58742
Tambaksari,226995
Kenjeran,181300
Bulak,47082
Simokerto,92683
Semampir,182371
Pabean Cantian,74490
Bubutan,97273
Krembangan,115320
Asemrowo,48022
Benowo,73306
Pakal,62715
