Kecamatan,Jumlah Penduduk,Tahun
Karangpilang,75572,2023
Jambangan,54200,2023
Gayungan,43999,2023
Wonocolo,79986,2023
Tenggilis Mejoyo,58990,2023
Gunung Anyar,61565,2023
Rungkut,121941,2023
Sukolilo,115099,2023
Mulyorejo,87556,2023
Gubeng,133804,2023
Wonokromo,154995,2023
Dukuh Pakis,59532,2023
Wiyung,73382,2023
Lakarsantri,64062,2023
Sambikerep,67943,2023
Tandes,91922,2023
Sukomanunggal,104786,2023
Sawahan,199336,2023
Tegalsari,98317,2023
Genteng,58742,2023
Tambaksari,226995,2023
Kenjeran,181300,2023
Bulak,47082,2023
Simokerto,92683,2023
Semampir,182371,2023
Pabean Cantian,74490,2023
Bubutan,97273,2023
Krembangan,115320,2023
Asemrowo,48022,2023
Benowo,73306,2023
Pakal,62715,2023
Pakal,64515,2024
Benowo,74933,2024
Asemrowo,48841,2024
Krembangan,114866,2024
Bubutan,96704,2024
Pabean Cantian,73931,2024
Semampir,183295,2024
Simokerto,92057,2024
Bulak,47839,2024
Kenjeran,185294,2024
Tambaksari,227025,2024
Genteng,58216,2024
Tegalsari,97511,2024
Sawahan,198516,2024
Sukomanunggal,104166,2024
Tandes,91784,2024
Sambikerep,69076,2024
Lakarsantri,65013,2024
Wiyung,76501,2024
Dukuh Pakis,59345,2024
Wonokromo,153563,2024
Gubeng,132382,2024
Mulyorejo,88214,2024
Sukolilo,115913,2024
Rungkut,123653,2024
Gunung Anyar,62342,2024
Tenggilis Mejoyo,58932,2024
Wonocolo,80034,2024
Gayungan,43846,2024
Jambangan,54212,2024
Karang Pilang,75503,2024
Karangpilang,75164,2025
Jambangan,54140,2025
Gayungan,43480,2025
Wonocolo,79530,2025
Tenggilis Mejoyo,58645,2025
Gunung Anyar,62669,2025
Rungkut,123956,2025
Sukolilo,115944,2025
Mulyorejo,87932,2025
Gubeng,131164,2025
Wonokromo,151571,2025
Dukuh Pakis,59185,2025
Wiyung,76770,2025
Lakarsantri,65497,2025
Sambikerep,69584,2025
Tandes,90999,2025
Sukomanunggal,102681,2025
Sawahan,196811,2025
Tegalsari,96237,2025
Genteng,57255,2025
Tambaksari,225939,2025
Kenjeran,186189,2025
Bulak,48118,2025
Simokerto,90663,2025
Semampir,181769,2025
Pabean Cantian,72505,2025
Bubutan,95522,2025
Krembangan,113890,2025
Asemrowo,48849,2025
Benowo,75716,2025
Pakal,65360,2025
