Kecamatan,Tahun,Cerai Hidup (%)
Karang Pilang,2020,6.42
Wonocolo,2020,5.69
Rungkut,2020,5.93
Wonokromo,2020,6.94
Tegalsari,2020,6.18
Sawahan,2020,6.77
Genteng,2020,6.2
Gubeng,2020,6.41
Sukolilo,2020,7.14
Tambak Sari,2020,6.76
Simokerto,2020,5.27
Pabean Cantian,2020,6.02
Bubutan,2020,5.81
Tandes,2020,6.12
Krembangan,2020,6.86
Semampir,2020,4.62
Kenjeran,2020,5.19
Lakar Santri,2020,6.26
Benowo,2020,5.84
Wiyung,2020,5.98
Dukuh Pakis,2020,6.58
Gayungan,2020,6.06
Jambangan,2020,6.64
Tenggilis Mejoyo,2020,5.85
Gunung Anyar,2020,5.87
Mulyorejo,2020,6.75
Sukomanunggal,2020,5.81
Asemrowo,2020,5.08
Bulak,2020,6.12
Pakal,2020,5.54
Sambi Kerep,2020,5.84
Kota Surabaya,2020,6.28
Karang Pilang,2021,6.85
Wonocolo,2021,6.03
Rungkut,2021,6.35
Wonokromo,2021,7.41
Tegalsari,2021,6.7
Sawahan,2021,7.21
Genteng,2021,6.6
Gubeng,2021,6.92
Sukolilo,2021,7.39
Tambak Sari,2021,7.21
Simokerto,2021,5.69
Pabean Cantian,2021,6.3
Bubutan,2021,6.41
Tandes,2021,6.71
Krembangan,2021,7.15
Semampir,2021,5.05
Kenjeran,2021,5.54
Lakar Santri,2021,6.57
Benowo,2021,6.17
Wiyung,2021,6.34
Dukuh Pakis,2021,6.9
Gayungan,2021,6.46
Jambangan,2021,7.07
Tenggilis,2021,6.26
Gunung Anyar,2021,6.02
Mulyorejo,2021,6.89
Sukomanunggal,2021,6.26
Asemrowo,2021,5.62
Bulak,2021,6.51
Pakal,2021,5.95
Sambi Kerep,2021,6.31
Kota Surabaya,2021,6.53
Karang Pilang,2023,7.55
Wonocolo,2023,6.98
Rungkut,2023,7.08
Wonokromo,2023,8.26
Tegalsari,2023,7.7
Sawahan,2023,8.12
Genteng,2023,7.45
Gubeng,2023,7.93
Sukolilo,2023,7.83
Tambaksari,2023,7.99
Simokerto,2023,6.46
Pabean Cantian,2023,7.15
Bubutan,2023,7.15
Tandes,2023,7.75
Krembangan,2023,7.85
Semampir,2023,5.85
Kenjeran,2023,6.21
Lakarsantri,2023,7.41
Benowo,2023,6.85
Wiyung,2023,7.23
Dukuh Pakis,2023,7.93
Gayungan,2023,7.24
Jambangan,2023,8.11
Tenggilis Mejoyo,2023,6.98
Gunung Anyar,2023,6.83
Mulyorejo,2023,7.65
Sukomanunggal,2023,7.25
Asem Rowo,2023,6.77
Bulak,2023,7.48
Pakal,2023,6.6
Sambikerep,2023,7.07
Kota Surabaya,2023,7.36
Karang Pilang,2024,7.48
Wonocolo,2024,6.99
Rungkut,2024,7.1
Wonokromo,2024,8.35
Tegalsari,2024,7.8
Sawahan,2024,8.17
Genteng,2024,7.52
Gubeng,2024,7.92
Sukolilo,2024,7.69
Tambaksari,2024,8.05
Simokerto,2024,6.57
Pabean Cantian,2024,7.32
Bubutan,2024,7.3
Tandes,2024,7.66
Krembangan,2024,7.74
Semampir,2024,5.89
Kenjeran,2024,6.18
Lakarsantri,2024,7.3
Benowo,2024,6.9
Wiyung,2024,7.26
Dukuh Pakis,2024,8.04
Gayungan,2024,7.12
Jambangan,2024,7.84
Tenggilis Mejoyo,2024,7.09
Gunung Anyar,2024,6.79
Mulyorejo,2024,7.63
Sukomanunggal,2024,7.23
Asem Rowo,2024,6.65
Bulak,2024,7.36
Pakal,2024,6.55
Sambikerep,2024,7.08
Kota Surabaya,2024,7.36
Karang Pilang,2025,7.6
Wonocolo,2025,7.08
Rungkut,2025,7.04
Wonokromo,2025,8.39
Tegalsari,2025,8.02
Sawahan,2025,8.25
Genteng,2025,7.74
Gubeng,2025,7.85
Sukolilo,2025,7.7
Tambaksari,2025,8.08
Simokerto,2025,6.76
Pabean Cantian,2025,7.39
Bubutan,2025,7.4
Tandes,2025,7.68
Krembangan,2025,7.77
Semampir,2025,5.96
Kenjeran,2025,6.21
Lakarsantri,2025,7.31
Benowo,2025,6.87
Wiyung,2025,7.25
Dukuh Pakis,2025,7.89
Gayungan,2025,7.23
Jambangan,2025,7.78
Tenggilis Mejoyo,2025,7.1
Gunung Anyar,2025,6.72
Mulyorejo,2025,7.67
Sukomanunggal,2025,7.15
Asem Rowo,2025,6.66
Bulak,2025,7.36
Pakal,2025,6.55
Sambikerep,2025,7.15
Kota Surabaya,2025,7.39
