Kecamatan,Tahun,Cerai Hidup,Cerai Mati,Total Cerai
KOTA SURABAYA,2023,44627,127337,171964
KARANG PILANG,2023,1148,3151,4299
KARANG PILANG,2023,122,365,487
KEBRAON,2023,458,1274,1732
KEDURUS,2023,433,1157,1590
WARU GUNUNG,2023,135,355,490
WONOCOLO,2023,1122,3576,4698
SIDOSERMO,2023,169,575,744
BENDUL MERISI,2023,228,768,996
MARGOREJO,2023,172,527,699
JEMUR WONOSARI,2023,299,950,1249
SIWALANKERTO,2023,254,756,1010
RUNGKUT,2023,1728,4553,6281
KALIRUNGKUT,2023,321,1043,1364
RUNGKUT KIDUL,2023,199,555,754
KEDUNG BARUK,2023,216,656,872
PENJARINGANSARI,2023,308,742,1050
WONOREJO,2023,270,602,872
MEDOKAN AYU,2023,414,955,1369
WONOKROMO,2023,2698,7726,10424
WONOKROMO,2023,638,1904,2542
JAGIR,2023,340,1049,1389
NGAGEL,2023,236,593,829
NGAGEL REJO,2023,734,2130,2864
DARMO,2023,300,756,1056
SAWUNGGALING,2023,450,1294,1744
TEGALSARI,2023,1563,5114,6677
TEGALSARI,2023,298,909,1207
DR. SOETOMO,2023,272,812,1084
KEDUNGDORO,2023,391,1213,1604
KEPUTRAN,2023,234,807,1041
WONOREJO,2023,368,1373,1741
SAWAHAN,2023,3305,9561,12866
PETEMON,2023,522,1813,2335
SAWAHAN,2023,315,968,1283
BANYU URIP,2023,641,1868,2509
PUTAT JAYA,2023,823,2106,2929
KUPANG KRAJAN,2023,389,1116,1505
PAKIS,2023,615,1690,2305
GENTENG,2023,893,3017,3910
EMBONG KALIASIN,2023,167,605,772
GENTENG,2023,137,421,558
KAPASARI,2023,262,821,1083
KETABANG,2023,124,384,508
PENELEH,2023,203,786,989
GUBENG,2023,2224,6923,9147
GUBENG,2023,231,734,965
MOJO,2023,724,2214,2938
AIRLANGGA,2023,340,1109,1449
KERTAJAYA,2023,440,1263,1703
BARATAJAYA,2023,236,887,1123
PUCANG SEWU,2023,253,716,969
SUKOLILO,2023,1870,4154,6024
KEPUTIH,2023,280,612,892
GEBANG PUTIH,2023,98,268,366
KLAMPIS NGASEM,2023,275,635,910
MENUR PUMPUNGAN,2023,299,695,994
NGINDEN JANGKUNGAN,2023,269,594,863
SEMOLOWARU,2023,315,697,1012
MEDOKAN SEMAMPIR,2023,334,653,987
TAMBAKSARI,2023,3770,10053,13823
TAMBAKSARI,2023,360,915,1275
PLOSO,2023,547,1596,2143
GADING,2023,523,1291,1814
PACARKEMBANG,2023,758,1842,2600
RANGKAH,2023,276,863,1139
PACARKELING,2023,411,1146,1557
KAPASMADYA BARU,2023,566,1607,2173
DUKUH SETRO,2023,329,793,1122
SIMOKERTO,2023,1204,4411,5615
SIMOKERTO,2023,309,1104,1413
KAPASAN,2023,207,693,900
SIDODADI,2023,201,748,949
SIMOLAWANG,2023,225,947,1172
TAMBAKREJO,2023,262,919,1181
PABEAN CANTIAN,2023,1117,3662,4779
BONGKARAN,2023,172,551,723
NYAMPLUNGAN,2023,143,412,555
KREMBANGAN UTARA,2023,213,821,1034
TANJUNG PERAK,2023,589,1878,2467
BUBUTAN,2023,1387,4880,6267
ALUN-ALUN CONTONG,2023,89,349,438
BUBUTAN,2023,182,705,887
GUNDIH,2023,399,1235,1634
JEPARA,2023,353,1164,1517
