Kecamatan,Tahun,Keluarga Miskin
Tambaksari,2023,19654
Wonokromo,2023,11973
Sukomanunggal,2023,3410
Semampir,2023,15171
Gubeng,2023,9613
Simokerto,2023,9686
Sawahan,2023,13321
Tegalsari,2023,10882
Krembangan,2023,11512
Kenjeran,2023,5745
Genteng,2023,4429
Wonocolo,2023,5509
Sukolilo,2023,4365
Dukuh Pakis,2023,3154
Pabean Cantian,2023,10487
Bubutan,2023,4253
Karang Pilang,2023,6074
Sambikerep,2023,4628
Asem Rowo,2023,3607
Mulyorejo,2023,2468
Bulak,2023,1486
Wiyung,2023,1328
Rungkut,2023,1462
Tenggilis Mejoyo,2023,1526
Tandes,2023,1733
Jambangan,2023,1853
Pakal,2023,1542
Gunung Anyar,2023,968
Gayungan,2023,689
Lakarsantri,2023,1041
Benowo,2023,816
Jumlah,2023,174385
1.0,2024,Asem Rowo
2.0,2024,Benowo
3.0,2024,Bubutan
4.0,2024,Bulak
5.0,2024,Dukuh Pakis
6.0,2024,Gayungan
7.0,2024,Genteng
8.0,2024,Gubeng
9.0,2024,Gunung Anyar
10.0,2024,Jambangan
11.0,2024,Karang Pilang
12.0,2024,Kenjeran
13.0,2024,Krembangan
14.0,2024,Lakarsantri
15.0,2024,Mulyorejo
16.0,2024,Pabean Cantian
17.0,2024,Pakal
18.0,2024,Rungkut
19.0,2024,Sambikerep
20.0,2024,Sawahan
21.0,2024,Semampir
22.0,2024,Simokerto
23.0,2024,Sukolilo
24.0,2024,Sukomanunggal
25.0,2024,Tambaksari
26.0,2024,Tandes
27.0,2024,Tegalsari
28.0,2024,Tenggilis Mejoyo
29.0,2024,Wiyung
30.0,2024,Wonocolo
31.0,2024,Wonokromo
,2024,Kota Surabaya
1.0,2025,Asem Rowo
2.0,2025,Benowo
3.0,2025,Bubutan
4.0,2025,Bulak
5.0,2025,Dukuh Pakis
6.0,2025,Gayungan
7.0,2025,Genteng
8.0,2025,Gubeng
9.0,2025,Gunung Anyar
10.0,2025,Jambangan
11.0,2025,Karang Pilang
12.0,2025,Kenjeran
13.0,2025,Krembangan
14.0,2025,Lakarsantri
15.0,2025,Mulyorejo
16.0,2025,Pabean Cantian
17.0,2025,Pakal
18.0,2025,Rungkut
19.0,2025,Sambikerep
20.0,2025,Sawahan
21.0,2025,Semampir
22.0,2025,Simokerto
23.0,2025,Sukolilo
24.0,2025,Sukomanunggal
25.0,2025,Tambaksari
26.0,2025,Tandes
27.0,2025,Tegalsari
28.0,2025,Tenggilis Mejoyo
29.0,2025,Wiyung
30.0,2025,Wonocolo
31.0,2025,Wonokromo
,2025,Kota Surabaya
