Kecamatan,Tahun,Rasio Kepala Keluarga Perempuan
Karang Pilang,2023,22.031422706458233
Wonocolo,2023,23.825202035318764
Rungkut,2023,21.4010989010989
Wonokromo,2023,27.068295391449194
Tegalsari,2023,28.31023808835016
Sawahan,2023,27.170352170352167
Genteng,2023,29.906586598036412
Gubeng,2023,27.35996618051152
Sukolilo,2023,22.817299390387483
Tambaksari,2023,25.552954420437246
Simokerto,2023,29.119431337704516
Pabean Cantian,2023,28.36116504854369
Bubutan,2023,26.962879971695607
Tandes,2023,24.09235565369877
Krembangan,2023,26.310794171967988
Semampir,2023,25.608862377503193
Kenjeran,2023,19.93167899748664
Lakarsantri,2023,19.13798035663202
Benowo,2023,19.565125069010914
Wiyung,2023,20.271577081150777
Dukuh Pakis,2023,24.154209284028326
Gayungan,2023,23.711687436847424
Jambangan,2023,21.265751890226827
Tenggilis Mejoyo,2023,22.925238334169592
Gunung Anyar,2023,21.07709806636665
Mulyorejo,2023,24.096669019528754
Sukomanunggal,2023,22.681789754960487
Asem Rowo,2023,20.734440928270043
Bulak,2023,21.820440724514484
Pakal,2023,18.675968680987754
Sambikerep,2023,19.92834751455441
Kota Surabaya,2023,24.313106529678606
Karang Pilang,2024,22.432024169184288
Wonocolo,2024,24.125188536953242
Rungkut,2024,21.73622125297383
Wonokromo,2024,27.576911476398735
Tegalsari,2024,28.842756183745582
Sawahan,2024,27.588560912989923
Genteng,2024,30.134721073877728
Gubeng,2024,27.710635731058403
Sukolilo,2024,23.128520896109002
Tambaksari,2024,25.942768555002903
Simokerto,2024,29.513162414514564
Pabean Cantian,2024,28.91847976855705
Bubutan,2024,27.394917644235093
Tandes,2024,24.58909043284657
Krembangan,2024,26.62440983905887
Semampir,2024,26.03942126955112
Kenjeran,2024,20.339102293513438
Lakarsantri,2024,19.51081577831189
Benowo,2024,19.702118732955736
Wiyung,2024,20.630932439977666
Dukuh Pakis,2024,24.623240134840373
Gayungan,2024,24.100252680461654
Jambangan,2024,21.588917161436243
Tenggilis Mejoyo,2024,23.27403214394016
Gunung Anyar,2024,21.42295983501915
Mulyorejo,2024,24.61212976022567
Sukomanunggal,2024,23.25889641262066
Asem Rowo,2024,20.939889269707358
Bulak,2024,21.927993738585965
Pakal,2024,19.04948746873314
Sambikerep,2024,20.23619957537155
Kota Surabaya,2024,24.674516256259686
Karang Pilang,2025,22.61899995996637
Wonocolo,2025,24.229007633587788
Rungkut,2025,21.718489796932865
Wonokromo,2025,27.5969974466778
Tegalsari,2025,29.113278319579894
Sawahan,2025,27.694741600120537
Genteng,2025,30.411325050735037
Gubeng,2025,27.775224840806146
Sukolilo,2025,23.251527280387613
Tambaksari,2025,26.104968765519228
Simokerto,2025,29.595184253272606
Pabean Cantian,2025,29.177168875518333
Bubutan,2025,27.516716765842585
Tandes,2025,24.66896186440678
Krembangan,2025,26.794105933890883
Semampir,2025,26.201118297663495
Kenjeran,2025,20.49271131899629
Lakarsantri,2025,19.59275593506615
Benowo,2025,19.704864729667765
Wiyung,2025,20.595020284782436
Dukuh Pakis,2025,24.605
Gayungan,2025,24.28858270442429
Jambangan,2025,21.710713270815575
Tenggilis Mejoyo,2025,23.392738599805956
Gunung Anyar,2025,21.388671109368875
Mulyorejo,2025,24.686446392447742
Sukomanunggal,2025,23.437317101720705
Asem Rowo,2025,21.043189368770765
Bulak,2025,22.230215827338128
Pakal,2025,18.869209809264305
Sambikerep,2025,20.51124114567293
