Kecamatan,Tahun,Rasio Kepala Keluarga Perempuan
KARANG PILANG,2023,22.031422706458233
WONOCOLO,2023,23.825202035318764
RUNGKUT,2023,21.4010989010989
WONOKROMO,2023,27.068295391449194
TEGALSARI,2023,28.31023808835016
SAWAHAN,2023,27.170352170352167
GENTENG,2023,29.906586598036412
GUBENG,2023,27.35996618051152
SUKOLILO,2023,22.817299390387483
TAMBAKSARI,2023,25.552954420437246
SIMOKERTO,2023,29.119431337704516
PABEAN CANTIAN,2023,28.36116504854369
BUBUTAN,2023,26.962879971695607
TANDES,2023,24.09235565369877
KREMBANGAN,2023,26.310794171967988
SEMAMPIR,2023,25.608862377503193
KENJERAN,2023,19.93167899748664
LAKARSANTRI,2023,19.13798035663202
BENOWO,2023,19.565125069010914
WIYUNG,2023,20.271577081150777
DUKUH PAKIS,2023,24.154209284028326
GAYUNGAN,2023,23.711687436847424
JAMBANGAN,2023,21.265751890226827
TENGGILIS MEJOYO,2023,22.925238334169592
GUNUNG ANYAR,2023,21.07709806636665
MULYOREJO,2023,24.096669019528754
SUKOMANUNGGAL,2023,22.681789754960487
ASEM ROWO,2023,20.734440928270043
BULAK,2023,21.820440724514484
PAKAL,2023,18.675968680987754
SAMBIKEREP,2023,19.92834751455441
KARANG PILANG,2024,22.432024169184288
WONOCOLO,2024,24.125188536953242
RUNGKUT,2024,21.73622125297383
WONOKROMO,2024,27.576911476398735
TEGALSARI,2024,28.842756183745582
SAWAHAN,2024,27.588560912989923
GENTENG,2024,30.134721073877728
GUBENG,2024,27.710635731058403
SUKOLILO,2024,23.128520896109002
TAMBAKSARI,2024,25.942768555002903
SIMOKERTO,2024,29.513162414514564
PABEAN CANTIAN,2024,28.91847976855705
BUBUTAN,2024,27.394917644235093
TANDES,2024,24.58909043284657
KREMBANGAN,2024,26.62440983905887
SEMAMPIR,2024,26.03942126955112
KENJERAN,2024,20.339102293513438
LAKARSANTRI,2024,19.51081577831189
BENOWO,2024,19.702118732955736
WIYUNG,2024,20.630932439977666
DUKUH PAKIS,2024,24.623240134840373
GAYUNGAN,2024,24.100252680461654
JAMBANGAN,2024,21.588917161436243
TENGGILIS MEJOYO,2024,23.27403214394016
GUNUNG ANYAR,2024,21.42295983501915
MULYOREJO,2024,24.61212976022567
SUKOMANUNGGAL,2024,23.25889641262066
ASEM ROWO,2024,20.939889269707358
BULAK,2024,21.927993738585965
PAKAL,2024,19.04948746873314
SAMBIKEREP,2024,20.23619957537155
KARANG PILANG,2025,22.61899995996637
WONOCOLO,2025,24.229007633587788
RUNGKUT,2025,21.718489796932865
WONOKROMO,2025,27.5969974466778
TEGALSARI,2025,29.113278319579894
SAWAHAN,2025,27.694741600120537
GENTENG,2025,30.411325050735037
GUBENG,2025,27.775224840806146
SUKOLILO,2025,23.251527280387613
TAMBAKSARI,2025,26.104968765519228
SIMOKERTO,2025,29.595184253272606
PABEAN CANTIAN,2025,29.177168875518333
BUBUTAN,2025,27.516716765842585
TANDES,2025,24.66896186440678
KREMBANGAN,2025,26.794105933890883
SEMAMPIR,2025,26.201118297663495
KENJERAN,2025,20.49271131899629
LAKARSANTRI,2025,19.59275593506615
BENOWO,2025,19.704864729667765
WIYUNG,2025,20.595020284782436
DUKUH PAKIS,2025,24.605
GAYUNGAN,2025,24.28858270442429
JAMBANGAN,2025,21.710713270815575
TENGGILIS MEJOYO,2025,23.392738599805956
GUNUNG ANYAR,2025,21.388671109368875
MULYOREJO,2025,24.686446392447742
SUKOMANUNGGAL,2025,23.437317101720705
ASEM ROWO,2025,21.043189368770765
BULAK,2025,22.230215827338128
PAKAL,2025,18.869209809264305
SAMBIKEREP,2025,20.51124114567293
