Kecamatan,Tahun,Jumlah Kepala Keluarga Perempuan
Karang Pilang,2020,4686
Wonocolo,2020,5412
Rungkut,2020,7125
Wonokromo,2020,12841
Tegalsari,2020,8727
Sawahan,2020,16707
Genteng,2020,5744
Gubeng,2020,11557
Sukolilo,2020,7384
Tambak Sari,2020,17348
Simokerto,2020,8662
Pabean Cantian,2020,6622
Bubutan,2020,8212
Tandes,2020,6529
Krembangan,2020,9110
Semampir,2020,13402
Kenjeran,2020,9385
Lakar Santri,2020,3250
Benowo,2020,3692
Wiyung,2020,4217
Dukuh Pakis,2020,4214
Gayungan,2020,3092
Jambangan,2020,3164
Tenggilis Mejoyo,2020,3852
Gunung Anyar,2020,3584
Mulyorejo,2020,6236
Sukomanunggal,2020,6820
Asemrowo,2020,2600
Bulak,2020,2821
Pakal,2020,3011
Sambi Kerep,2020,3680
Kota Surabaya,2020,213686
KarangPilang,2021,5113
Wonocolo,2021,5828
Rungkut,2021,7750
Wonokromo,2021,13510
Tegalsari,2021,9123
Sawahan,2021,17483
Genteng,2021,5923
Gubeng,2021,12252
Sukolilo,2021,8005
Tambaksari,2021,18485
Simokerto,2021,8941
PabeanCantian,2021,6861
Bubutan,2021,8614
Tandes,2021,6972
Krembangan,2021,9539
Semampir,2021,14025
Kenjeran,2021,10216
Lakarsantri,2021,3567
Benowo,2021,4104
Wiyung,2021,4561
DukuhPakis,2021,4488
Gayungan,2021,3302
Jambangan,2021,3458
TenggilisMejoyo,2021,4229
GunungAnyar,2021,3882
Mulyorejo,2021,6668
Sukomanunggal,2021,7293
Asemrowo,2021,2788
Bulak,2021,3029
Pakal,2021,3317
Sambikerep,2021,4003
KotaSurabaya,2021,227329
Karang Pilang,2022,5474
Wonocolo,2022,6275
Rungkut,2022,8394
Wonokromo,2022,14487
Tegalsari,2022,9714
Sawahan,2022,18382
Genteng,2022,6223
Gubeng,2022,12809
Sukolilo,2022,8529
Tambaksari,2022,19678
Simokerto,2022,9434
Pabean Cantian,2022,7259
Bubutan,2022,9101
Tandes,2022,7379
Krembangan,2022,10156
Semampir,2022,14921
Kenjeran,2022,11015
Lakarsantri,2022,3894
Benowo,2022,4467
Wiyung,2022,4892
Dukuh Pakis,2022,4783
Gayungan,2022,3484
Jambangan,2022,3797
Tenggilis Mejoyo,2022,4485
Gunung Anyar,2022,4177
Mulyorejo,2022,7057
Sukomanunggal,2022,7863
Asem Rowo,2022,3011
Bulak,2022,3262
Pakal,2022,3606
Sambikerep,2022,4327
Kota Surabaya,2022,242335
Karang Pilang,2023,5581
Wonocolo,2023,6368
Rungkut,2023,8569
Wonokromo,2023,14625
Tegalsari,2023,9786
Sawahan,2023,18578
Genteng,2023,6275
Gubeng,2023,12944
Sukolilo,2023,8721
Tambaksari,2023,19975
Simokerto,2023,9504
Pabean Cantian,2023,7303
Bubutan,2023,9145
Tandes,2023,7419
Krembangan,2023,10257
Semampir,2023,15026
Kenjeran,2023,11261
Lakarsantri,2023,4014
Benowo,2023,4607
Wiyung,2023,5031
Dukuh Pakis,2023,4912
Gayungan,2023,3520
Jambangan,2023,3797
Tenggilis Mejoyo,2023,4569
Gunung Anyar,2023,4262
Mulyorejo,2023,7169
Sukomanunggal,2023,7979
Asem Rowo,2023,3145
Bulak,2023,3337
Pakal,2023,3721
Sambikerep,2023,4450
Kota Surabaya,2023,245850
Karang Pilang,2024,5643
Wonocolo,2024,6398
Rungkut,2024,8771
Wonokromo,2024,14629
Tegalsari,2024,9795
Sawahan,2024,18590
Genteng,2024,6196
Gubeng,2024,12863
Sukolilo,2024,8827
Tambaksari,2024,20081
Simokerto,2024,9451
Pabean Cantian,2024,7297
Bubutan,2024,9131
Tandes,2024,7510
Krembangan,2024,10207
Semampir,2024,15100
Kenjeran,2024,11564
Lakarsantri,2024,4140
Benowo,2024,4696
Wiyung,2024,5173
Dukuh Pakis,2024,4967
Gayungan,2024,3529
Jambangan,2024,3818
Tenggilis Mejoyo,2024,4605
Gunung Anyar,2024,4363
Mulyorejo,2024,7329
Sukomanunggal,2024,8072
Asem Rowo,2024,3177
Bulak,2024,3362
Pakal,2024,3884
Sambikerep,2024,4575
Kota Surabaya,2024,247743
Karang Pilang,2025,5650
Wonocolo,2025,6348
Rungkut,2025,8738
Wonokromo,2025,14375
Tegalsari,2025,9702
Sawahan,2025,18381
Genteng,2025,6144
Gubeng,2025,12693
Sukolilo,2025,8830
Tambaksari,2025,19975
Simokerto,2025,9292
Pabean Cantian,2025,7177
Bubutan,2025,8971
Tandes,2025,7452
Krembangan,2025,10092
Semampir,2025,14948
Kenjeran,2025,11654
Lakarsantri,2025,4176
Benowo,2025,4727
Wiyung,2025,5178
Dukuh Pakis,2025,4921
Gayungan,2025,3508
Jambangan,2025,3820
Tenggilis Mejoyo,2025,4581
Gunung Anyar,2025,4365
Mulyorejo,2025,7322
Sukomanunggal,2025,8009
Asem Rowo,2025,3167
Bulak,2025,3399
Pakal,2025,3878
Sambikerep,2025,4662
