Kecamatan,Tahun,Perempuan Bekerja,Perempuan Sektor Informal,Persentase Perempuan Sektor Informal
KARANG PILANG,2023,2037,389,19.09671084928817
WONOCOLO,2023,2119,512,24.162340726757904
RUNGKUT,2023,3497,712,20.360308836145265
WONOKROMO,2023,5221,1105,21.16452786822448
TEGALSARI,2023,3236,578,17.861557478368358
SAWAHAN,2023,5570,1290,23.159784560143628
GENTENG,2023,2067,465,22.49637155297533
GUBENG,2023,5005,889,17.762237762237763
SUKOLILO,2023,3202,800,24.984384759525298
TAMBAKSARI,2023,6173,1386,22.452616231977967
SIMOKERTO,2023,2608,665,25.49846625766871
PABEAN CANTIAN,2023,1781,563,31.611454239191467
BUBUTAN,2023,2691,553,20.549981419546636
TANDES,2023,2426,451,18.590272052761748
KREMBANGAN,2023,2610,744,28.50574712643678
SEMAMPIR,2023,2680,1034,38.582089552238806
KENJERAN,2023,2815,766,27.2113676731794
LAKARSANTRI,2023,1076,245,22.769516728624538
BENOWO,2023,1490,406,27.248322147651006
WIYUNG,2023,1817,359,19.757842597688498
DUKUH PAKIS,2023,1592,382,23.99497487437186
GAYUNGAN,2023,1401,275,19.628836545324766
JAMBANGAN,2023,1407,290,20.61122956645345
TENGGILIS MEJOYO,2023,1641,367,22.364411943936624
GUNUNG ANYAR,2023,1698,327,19.257950530035338
MULYOREJO,2023,2499,592,23.689475790316123
SUKOMANUNGGAL,2023,2321,637,27.445066781559674
ASEM ROWO,2023,802,333,41.5211970074813
BULAK,2023,953,220,23.084994753410285
PAKAL,2023,1297,349,26.908249807247493
SAMBIKEREP,2023,1348,355,26.3353115727003
KARANG PILANG,2024,2005,400,19.950124688279303
WONOCOLO,2024,2133,530,24.84763244256915
RUNGKUT,2024,3597,731,20.3224909646928
WONOKROMO,2024,5173,1127,21.78619756427605
TEGALSARI,2024,3235,588,18.176197836166924
SAWAHAN,2024,5560,1287,23.14748201438849
GENTENG,2024,2061,462,22.416302765647742
GUBENG,2024,4941,897,18.154219793564057
SUKOLILO,2024,3235,809,25.007727975270477
TAMBAKSARI,2024,6198,1410,22.749273959341725
SIMOKERTO,2024,2562,666,25.995316159250585
PABEAN CANTIAN,2024,1797,561,31.21869782971619
BUBUTAN,2024,2701,563,20.84413180303591
TANDES,2024,2419,450,18.602728400165358
KREMBANGAN,2024,2586,736,28.46094354215004
SEMAMPIR,2024,2709,1069,39.4610557401255
KENJERAN,2024,2848,785,27.56320224719101
LAKARSANTRI,2024,1124,248,22.064056939501782
BENOWO,2024,1523,424,27.839789888378203
WIYUNG,2024,1856,372,20.04310344827586
DUKUH PAKIS,2024,1594,376,23.588456712672524
GAYUNGAN,2024,1406,267,18.990042674253203
JAMBANGAN,2024,1389,286,20.59035277177826
TENGGILIS MEJOYO,2024,1640,379,23.109756097560975
GUNUNG ANYAR,2024,1728,339,19.618055555555554
MULYOREJO,2024,2533,615,24.27951046190288
SUKOMANUNGGAL,2024,2370,645,27.21518987341772
ASEM ROWO,2024,813,346,42.55842558425584
BULAK,2024,970,227,23.4020618556701
PAKAL,2024,1346,359,26.671619613670135
SAMBIKEREP,2024,1395,372,26.666666666666668
KARANG PILANG,2025,1980,404,20.404040404040405
WONOCOLO,2025,2083,516,24.771963514162266
RUNGKUT,2025,3579,708,19.78206202849958
WONOKROMO,2025,5083,1089,21.42435569545544
TEGALSARI,2025,3169,568,17.923635216156516
SAWAHAN,2025,5509,1258,22.835360319477218
GENTENG,2025,2051,460,22.428083861530958
GUBENG,2025,4873,870,17.853478350092345
SUKOLILO,2025,3204,798,24.9063670411985
TAMBAKSARI,2025,6155,1417,23.021933387489845
SIMOKERTO,2025,2479,638,25.736183945139167
PABEAN CANTIAN,2025,1737,542,31.20322394933794
BUBUTAN,2025,2663,545,20.465640255351108
TANDES,2025,2384,453,19.001677852348994
KREMBANGAN,2025,2512,711,28.304140127388532
SEMAMPIR,2025,2658,1037,39.0142964635064
KENJERAN,2025,2879,781,27.127474817645016
LAKARSANTRI,2025,1127,247,21.91659272404614
BENOWO,2025,1508,421,27.91777188328912
WIYUNG,2025,1845,368,19.945799457994582
DUKUH PAKIS,2025,1569,367,23.390694710006375
GAYUNGAN,2025,1393,265,19.023689877961232
JAMBANGAN,2025,1387,287,20.69214131218457
TENGGILIS MEJOYO,2025,1630,371,22.760736196319016
GUNUNG ANYAR,2025,1738,330,18.9873417721519
MULYOREJO,2025,2527,611,24.178868223189554
SUKOMANUNGGAL,2025,2324,625,26.89328743545611
ASEM ROWO,2025,798,335,41.97994987468672
BULAK,2025,977,229,23.439099283520985
PAKAL,2025,1343,362,26.95457930007446
SAMBIKEREP,2025,1411,366,25.939050318922753
