Kecamatan,Laki-laki,Perempuan
Gayungan,21485,22514
Bulak,23413,23669
Asem Rowo,24208,23814
Jambangan,26827,27373
Genteng,28779,29963
Tenggilis Mejoyo,28994,29996
Dukuh Pakis,29436,30096
Gunung Anyar,30452,31113
Pakal,31540,31175
Lakarsantri,32015,32047
Sambikerep,33743,34200
Benowo,36597,36709
Pabean Cantian,36900,37590
Wiyung,37481,37901
Karang Pilang,37361,38211
Wonocolo,39457,40529
Mulyorejo,43011,44545
Tandes,45207,46715
Simokerto,46117,46566
Bubutan,48127,49146
Tegalsari,48429,49888
Sukomanunggal,52030,52756
Sukolilo,56793,58306
Krembangan,57262,58058
Rungkut,60184,61757
Gubeng,65303,68501
Wonokromo,76001,78994
Kenjeran,91217,90083
Semampir,91367,91004
Sawahan,98445,100891
Tambaksari,112177,114818
