Kecamatan,Tahun,Sex Ratio
Karangpilang,2023,101.0
Jambangan,2023,98.0
Gayungan,2023,96.0
Wonocolo,2023,98.0
Tenggilis Mejoyo,2023,97.0
Gunung Anyar,2023,99.0
Rungkut,2023,97.0
Sukolilo,2023,98.0
Mulyorejo,2023,96.0
Gubeng,2023,95.0
Wonokromo,2023,96.0
Dukuh Pakis,2023,97.0
Wiyung,2023,99.0
Lakarsantri,2023,102.0
Sambikerep,2023,100.0
Tandes,2023,97.0
Sukomanunggal,2023,99.0
Sawahan,2023,97.0
Tegalsari,2023,97.0
Genteng,2023,95.0
Tambaksari,2023,98.0
Kenjeran,2023,101.0
Bulak,2023,98.0
Simokerto,2023,99.0
Semampir,2023,101.0
Pabean Cantian,2023,98.0
Bubutan,2023,98.0
Krembangan,2023,98.0
Asemrowo,2023,102.0
Benowo,2023,100.0
Pakal,2023,102.0
Kota Surabaya,2023,98.0
Karangpilang,2024,98.0
Jambangan,2024,98.0
Gayungan,2024,95.0
Wonocolo,2024,97.0
Tenggilis Mejoyo,2024,97.0
Gunung Anyar,2024,98.0
Rungkut,2024,97.0
Sukolilo,2024,97.0
Mulyorejo,2024,97.0
Gubeng,2024,95.0
Wonokromo,2024,96.0
Dukuh Pakis,2024,98.0
Wiyung,2024,99.0
Lakarsantri,2024,100.0
Sambikerep,2024,99.0
Tandes,2024,97.0
Sukomanunggal,2024,99.0
Sawahan,2024,98.0
Tegalsari,2024,97.0
Genteng,2024,96.0
Tambaksari,2024,98.0
Kenjeran,2024,101.0
Bulak,2024,99.0
Simokerto,2024,99.0
Semampir,2024,100.0
Pabean Cantian,2024,98.0
Bubutan,2024,98.0
Krembangan,2024,99.0
Asemrowo,2024,102.0
Benowo,2024,100.0
Pakal,2024,101.0
Kota Surabaya,2024,98.0
Karangpilang,2025,97.59
Jambangan,2025,97.97
Gayungan,2025,95.33
Wonocolo,2025,97.38
Tenggilis Mejoyo,2025,96.77
Gunung Anyar,2025,97.55
Rungkut,2025,97.46
Sukolilo,2025,97.08
Mulyorejo,2025,96.26
Gubeng,2025,95.47
Wonokromo,2025,96.19
Dukuh Pakis,2025,97.84
Wiyung,2025,98.94
Lakarsantri,2025,99.51
Sambikerep,2025,98.63
Tandes,2025,96.6
Sukomanunggal,2025,98.69
Sawahan,2025,97.64
Tegalsari,2025,97.05
Genteng,2025,96.01
Tambaksari,2025,97.89
Kenjeran,2025,101.19
Bulak,2025,98.98
Simokerto,2025,98.84
Semampir,2025,100.39
Pabean Cantian,2025,98.48
Bubutan,2025,98.24
Krembangan,2025,98.83
Asemrowo,2025,101.78
Benowo,2025,99.94
Pakal,2025,100.74
Kota Surabaya,2025,98.13
