Kecamatan,Tahun,Perempuan Lulus Wajib Belajar,Jumlah Perempuan,Persentase Perempuan Lulus Wajib Belajar
KARANG PILANG,2023,17950,38211,46.976001674910364
WONOCOLO,2023,18533,40529,45.727750499642234
RUNGKUT,2023,30390,61757,49.20899655099827
WONOKROMO,2023,36421,78994,46.10603336962301
TEGALSARI,2023,22314,49888,44.7281911481719
SAWAHAN,2023,37465,100891,37.13413485841156
GENTENG,2023,12130,29963,40.483262690651806
GUBENG,2023,33599,68501,49.0489189938833
SUKOLILO,2023,25839,58306,44.31619387370082
TAMBAKSARI,2023,42098,114818,36.66498284241147
SIMOKERTO,2023,13363,46566,28.696903320018897
PABEAN CANTIAN,2023,11622,37590,30.91779728651237
BUBUTAN,2023,18238,49146,37.10983599886053
TANDES,2023,19751,46715,42.27978165471476
KREMBANGAN,2023,16648,58058,28.674773502359706
SEMAMPIR,2023,17158,91004,18.854116302580106
KENJERAN,2023,22850,90083,25.365496264556022
LAKARSANTRI,2023,12354,32047,38.54963023059881
BENOWO,2023,13620,36709,37.10261788662181
WIYUNG,2023,17427,37901,45.980317142027914
DUKUH PAKIS,2023,13899,30096,46.18221690590112
GAYUNGAN,2023,11744,22514,52.163098516478634
JAMBANGAN,2023,13955,27373,50.98089358126621
TENGGILIS MEJOYO,2023,14324,29996,47.753033737831714
GUNUNG ANYAR,2023,15304,31113,49.18844213029923
MULYOREJO,2023,21177,44545,47.540689190706026
SUKOMANUNGGAL,2023,21603,52756,40.948896807946014
ASEM ROWO,2023,5216,23814,21.90308222054254
BULAK,2023,7762,23669,32.79394989226414
PAKAL,2023,12581,31175,40.3560545308741
SAMBIKEREP,2023,14150,34200,41.37426900584795
KARANG PILANG,2024,19099,38212,49.981681147283574
WONOCOLO,2024,19587,40549,48.30452045673137
RUNGKUT,2024,32540,62621,51.963398859807405
WONOKROMO,2024,38019,78272,48.57292518397384
TEGALSARI,2024,23134,49486,46.74857535464576
SAWAHAN,2024,40399,100442,40.221222197885346
GENTENG,2024,12825,29700,43.18181818181818
GUBENG,2024,35025,67726,51.715736940023035
SUKOLILO,2024,27758,58816,47.194640914036995
TAMBAKSARI,2024,45734,114722,39.865065113927585
SIMOKERTO,2024,14381,46298,31.061816925137155
PABEAN CANTIAN,2024,12506,37249,33.5740556793471
BUBUTAN,2024,19419,48782,39.80771596080522
TANDES,2024,21211,46685,45.43429367034379
KREMBANGAN,2024,18234,57772,31.562002354081564
SEMAMPIR,2024,19572,91469,21.39741333129257
KENJERAN,2024,25733,92099,27.940585674111556
LAKARSANTRI,2024,13681,32586,41.98428773092739
BENOWO,2024,15141,37477,40.400779144541985
WIYUNG,2024,18928,38454,49.22244759972955
DUKUH PAKIS,2024,14717,29996,49.06320842779037
GAYUNGAN,2024,12285,22447,54.728917004499486
JAMBANGAN,2024,14525,27384,53.04192229038854
TENGGILIS MEJOYO,2024,15041,29950,50.220367278797994
GUNUNG ANYAR,2024,16374,31557,51.88706150774789
MULYOREJO,2024,22588,44948,50.253626412743614
SUKOMANUNGGAL,2024,22951,52427,43.77706143780876
ASEM ROWO,2024,5923,24205,24.47015079529023
BULAK,2024,8651,24042,35.982863322518924
PAKAL,2024,13986,32138,43.51857614039455
SAMBIKEREP,2024,15408,34777,44.30514420450298
KARANG PILANG,2025,20426,38015,53.73142180718138
WONOCOLO,2025,20856,40310,51.739022575043414
RUNGKUT,2025,34650,62865,55.118110236220474
WONOKROMO,2025,40212,77231,52.06717509808237
TEGALSARI,2025,24662,48898,50.43560063806291
SAWAHAN,2025,44070,99622,44.237216679046796
GENTENG,2025,13944,29239,47.68972947091214
GUBENG,2025,36985,67099,55.1200464984575
SUKOLILO,2025,30233,58849,51.37385512073273
TAMBAKSARI,2025,50227,114286,43.94851512871218
SIMOKERTO,2025,16024,45571,35.162713128963595
PABEAN CANTIAN,2025,13887,36562,37.98205787429572
BUBUTAN,2025,21194,48248,43.92720941800696
TANDES,2025,23171,46315,50.029148224117456
KREMBANGAN,2025,20616,57321,35.96587638038415
SEMAMPIR,2025,23408,90682,25.813281577380298
KENJERAN,2025,30034,92631,32.42327082726085
LAKARSANTRI,2025,15373,32829,46.827500076152184
BENOWO,2025,17006,37919,44.84822911996624
WIYUNG,2025,20535,38613,53.18157097350633
DUKUH PAKIS,2025,15799,29896,52.84653465346535
GAYUNGAN,2025,13098,22240,58.893884892086334
JAMBANGAN,2025,15497,27362,56.63694174402456
TENGGILIS MEJOYO,2025,15974,29835,53.54114295290766
GUNUNG ANYAR,2025,17576,31719,55.4115829628929
MULYOREJO,2025,24322,44807,54.28169705626353
SUKOMANUNGGAL,2025,24740,51704,47.84929599257311
ASEM ROWO,2025,6948,24199,28.711930245051448
BULAK,2025,9796,24196,40.48603074888411
PAKAL,2025,15684,32627,48.07061636068287
SAMBIKEREP,2025,17072,35093,48.64787849428661
