Kecamatan,Tahun,Tidak Bekerja,Bekerja,Persentase KK Perempuan Bekerja
KARANG PILANG,2023,1884,17867,90.46124246873576
WONOCOLO,2023,1928,18432,90.53045186640472
RUNGKUT,2023,2528,28943,91.96720790569096
WONOKROMO,2023,3663,35742,90.70422535211267
TEGALSARI,2023,1682,23099,93.21254186675276
SAWAHAN,2023,4656,45142,90.65022691674365
GENTENG,2023,1200,13507,91.84062011287142
GUBENG,2023,2849,31517,91.70982948262818
SUKOLILO,2023,3169,26331,89.25762711864407
TAMBAKSARI,2023,5601,52595,90.37562719087222
SIMOKERTO,2023,2050,21084,91.1385839024812
PABEAN CANTIAN,2023,1809,16638,90.19352740282973
BUBUTAN,2023,1927,22845,92.22105603100275
TANDES,2023,2407,20968,89.70267379679144
KREMBANGAN,2023,3729,24998,87.01918056184078
SEMAMPIR,2023,3807,39842,91.27815070219249
KENJERAN,2023,3812,41425,91.57326966863408
LAKARSANTRI,2023,1601,15359,90.56014150943396
BENOWO,2023,1182,17758,93.75923970432947
WIYUNG,2023,1466,18321,92.59109516349118
DUKUH PAKIS,2023,1340,14084,91.31224066390041
GAYUNGAN,2023,1140,10185,89.93377483443709
JAMBANGAN,2023,1185,12873,91.57063593683313
TENGGILIS MEJOYO,2023,1036,14325,93.25564741878783
GUNUNG ANYAR,2023,1314,14645,91.76640140359672
MULYOREJO,2023,2116,20466,90.62970507483837
SUKOMANUNGGAL,2023,2295,24904,91.5621897863892
ASEM ROWO,2023,1356,10667,88.72161690093986
BULAK,2023,913,11043,92.36366677818668
PAKAL,2023,1053,15150,93.50120348083688
SAMBIKEREP,2023,1142,16738,93.61297539149888
KARANG PILANG,2024,2059,17454,89.44806026751397
WONOCOLO,2024,2067,18055,89.72766126627572
RUNGKUT,2024,2774,28807,91.21623761122194
WONOKROMO,2024,3809,34610,90.08563471199146
TEGALSARI,2024,1772,22393,92.66708048830954
SAWAHAN,2024,4886,43907,89.98626852212408
GENTENG,2024,1250,13115,91.29829446571527
GUBENG,2024,2994,30562,91.07760162117057
SUKOLILO,2024,3354,25984,88.56772786147658
TAMBAKSARI,2024,5917,51407,89.6779708324611
SIMOKERTO,2024,2161,20411,90.42619174198123
PABEAN CANTIAN,2024,1866,16070,89.59634255129349
BUBUTAN,2024,2049,22151,91.53305785123968
TANDES,2024,2524,20508,89.0413337964571
KREMBANGAN,2024,3836,24294,86.36331318876644
SEMAMPIR,2024,4051,38838,90.55468768215627
KENJERAN,2024,4231,41061,90.65839441844035
LAKARSANTRI,2024,1785,15294,89.54856841735464
BENOWO,2024,1353,17786,92.93066513401953
WIYUNG,2024,1671,18230,91.60343701321541
DUKUH PAKIS,2024,1434,13771,90.56889181190398
GAYUNGAN,2024,1188,9926,89.31077919740868
JAMBANGAN,2024,1271,12596,90.83435494339078
TENGGILIS MEJOYO,2024,1097,14084,92.77386206442263
GUNUNG ANYAR,2024,1409,14594,91.19540086233832
MULYOREJO,2024,2222,20227,90.10200899817363
SUKOMANUNGGAL,2024,2394,24239,91.01115157886832
ASEM ROWO,2024,1432,10563,88.0616923718216
BULAK,2024,1007,10963,91.58730158730158
PAKAL,2024,1217,15288,92.62647682520449
SAMBIKEREP,2024,1272,16761,92.94626518050241
KARANG PILANG,2025,2175,17154,88.74747788297377
WONOCOLO,2025,2119,17733,89.32601249244408
RUNGKUT,2025,2925,28570,90.71281155739005
WONOKROMO,2025,3957,33757,89.50787505965955
TEGALSARI,2025,1807,21816,92.35067518943403
SAWAHAN,2025,5071,42918,89.43299506136823
GENTENG,2025,1280,12779,90.89551177181876
GUBENG,2025,3111,29895,90.57444101072532
SUKOLILO,2025,3462,25684,88.1218692101832
TAMBAKSARI,2025,6179,50364,89.07203367348744
SIMOKERTO,2025,2225,19880,89.93440398099978
PABEAN CANTIAN,2025,1846,15575,89.4035933643304
BUBUTAN,2025,2075,21556,91.21916127121155
TANDES,2025,2670,20086,88.2668307259624
KREMBANGAN,2025,3904,23669,85.84122148478585
SEMAMPIR,2025,4163,37940,90.11234353846518
KENJERAN,2025,4599,40616,89.82859670463343
LAKARSANTRI,2025,1937,15201,88.6976309954487
BENOWO,2025,1558,17704,91.9115356660783
WIYUNG,2025,1849,18115,90.73832899218594
DUKUH PAKIS,2025,1498,13581,90.06565422110219
GAYUNGAN,2025,1194,9741,89.08093278463649
JAMBANGAN,2025,1322,12453,90.40290381125227
TENGGILIS MEJOYO,2025,1149,13853,92.34102119717372
GUNUNG ANYAR,2025,1475,14568,90.80595898522719
MULYOREJO,2025,2313,20025,89.6454472199839
SUKOMANUNGGAL,2025,2477,23686,90.53243129610519
ASEM ROWO,2025,1513,10370,87.26752503576537
BULAK,2025,1058,10833,91.10251450676982
PAKAL,2025,1384,15290,91.69965215305265
SAMBIKEREP,2025,1388,16679,92.31748491725244
