Kecamatan,Tahun,Penduduk Non Produktif,Penduduk Produktif,Dependency Ratio
KARANG PILANG,2023,21817,53755,40.58599200074411
WONOCOLO,2023,23986,56000,42.832142857142856
RUNGKUT,2023,35561,86380,41.16809446631164
WONOKROMO,2023,44369,110626,40.107208070435526
TEGALSARI,2023,29428,68889,42.7179956161361
SAWAHAN,2023,58975,140361,42.01665704861037
GENTENG,2023,18371,40371,45.50543707116495
GUBENG,2023,39892,93912,42.47806457108783
SUKOLILO,2023,34524,80575,42.84703692212224
TAMBAKSARI,2023,67532,159463,42.349635965709915
SIMOKERTO,2023,29087,63596,45.737153280080506
PABEAN CANTIAN,2023,23335,51155,45.61626429479034
BUBUTAN,2023,29326,67947,43.16011008580217
TANDES,2023,28045,63877,43.90469182961003
KREMBANGAN,2023,35281,80039,44.07976111645573
SEMAMPIR,2023,58167,124204,46.83182506199478
KENJERAN,2023,54827,126473,43.350754706538154
LAKARSANTRI,2023,18366,45696,40.19170168067227
BENOWO,2023,20772,52534,39.54010735904367
WIYUNG,2023,21188,54194,39.09657895708012
DUKUH PAKIS,2023,17991,41541,43.30902000433307
GAYUNGAN,2023,12934,31065,41.635280862707226
JAMBANGAN,2023,16162,38038,42.48908985751091
TENGGILIS MEJOYO,2023,17464,41526,42.05557963685402
GUNUNG ANYAR,2023,18063,43502,41.52222886304078
MULYOREJO,2023,26232,61324,42.77607462005088
SUKOMANUNGGAL,2023,31531,73255,43.04279571360317
ASEM ROWO,2023,14583,33439,43.61075391010497
BULAK,2023,13885,33197,41.82606862065849
PAKAL,2023,17744,44971,39.45653865824642
SAMBIKEREP,2023,19823,48120,41.194929343308395
KARANG PILANG,2024,21698,53805,40.327107146176004
WONOCOLO,2024,23861,56173,42.477702810959
RUNGKUT,2024,35996,87657,41.064604081818906
WONOKROMO,2024,43748,109815,39.83790921094568
TEGALSARI,2024,29146,68365,42.63292620492942
SAWAHAN,2024,58297,140219,41.57567804648443
GENTENG,2024,18102,40114,45.12638978910106
GUBENG,2024,39234,93148,42.12006699016619
SUKOLILO,2024,34736,81177,42.790445569557875
TAMBAKSARI,2024,67223,159802,42.0664322098597
SIMOKERTO,2024,28877,63180,45.705919594808485
PABEAN CANTIAN,2024,23047,50884,45.293215942142915
BUBUTAN,2024,29075,67629,42.99191175383342
TANDES,2024,27707,64077,43.24016417747398
KREMBANGAN,2024,35033,79833,43.882855460774365
SEMAMPIR,2024,58354,124941,46.70524487558127
KENJERAN,2024,55817,129477,43.10958703090124
LAKARSANTRI,2024,18457,46556,39.64472892860211
BENOWO,2024,21105,53828,39.208218770899904
WIYUNG,2024,21499,55002,39.08766953928948
DUKUH PAKIS,2024,17864,41481,43.06549986740917
GAYUNGAN,2024,12844,31002,41.42958518805238
JAMBANGAN,2024,16050,38162,42.05754415387034
TENGGILIS MEJOYO,2024,17366,41566,41.7793388827407
GUNUNG ANYAR,2024,18101,44241,40.91453628986687
MULYOREJO,2024,26394,61820,42.69492073762537
SUKOMANUNGGAL,2024,31399,72767,43.150054282848
ASEM ROWO,2024,14835,34006,43.624654472740104
BULAK,2024,13980,33859,41.28887444992469
PAKAL,2024,18148,46367,39.13990553626502
SAMBIKEREP,2024,20000,49076,40.75311761349743
KARANG PILANG,2025,21603,53561,40.333451578573964
WONOCOLO,2025,23512,56018,41.97222321396694
RUNGKUT,2025,35827,88129,40.65290653473885
WONOKROMO,2025,42938,108633,39.52574263805658
TEGALSARI,2025,28810,67427,42.727690687706705
SAWAHAN,2025,57525,139286,41.299915282225065
GENTENG,2025,17709,39546,44.780761644666974
GUBENG,2025,38904,92260,42.16778668978973
SUKOLILO,2025,34638,81306,42.602021990996974
TAMBAKSARI,2025,66822,159117,41.99551273591131
SIMOKERTO,2025,28390,62273,45.58958135949769
PABEAN CANTIAN,2025,22460,50045,44.87960835248276
BUBUTAN,2025,28699,66823,42.94778743845682
TANDES,2025,27130,63869,42.47757127871111
KREMBANGAN,2025,34691,79199,43.802320736372934
SEMAMPIR,2025,58003,123766,46.86505179128355
KENJERAN,2025,55967,130222,42.97814501389934
LAKARSANTRI,2025,18446,47051,39.20426770950671
BENOWO,2025,21115,54601,38.67145290379297
WIYUNG,2025,21499,55271,38.89743265003347
DUKUH PAKIS,2025,17750,41435,42.838180282369976
GAYUNGAN,2025,12632,30848,40.94917012448133
JAMBANGAN,2025,15863,38277,41.44264179533401
TENGGILIS MEJOYO,2025,17196,41449,41.48712876064561
GUNUNG ANYAR,2025,18057,44612,40.475656773962164
MULYOREJO,2025,26108,61824,42.229554865424426
SUKOMANUNGGAL,2025,30656,72025,42.5629989586949
ASEM ROWO,2025,14900,33949,43.88936345695013
BULAK,2025,13987,34131,40.980340452960654
PAKAL,2025,18387,47099,39.03904541497696
SAMBIKEREP,2025,19964,49620,40.233776702942365
