Kecamatan,Tahun,Jumlah_perempuan_lulus_sma
Karangpilang,2023,11565
Jambangan,2023,10983
Gayungan,2023,9607
Wonocolo,2023,13313
Tenggilis Mejoyo,2023,10593
Gunung Anyar,2023,13515
Rungkut,2023,25547
Sukolilo,2023,22522
Mulyorejo,2023,17496
Gubeng,2023,22428
Wonokromo,2023,19207
Dukuh Pakis,2023,9225
Wiyung,2023,13198
Lakarsantri,2023,8231
Sambikerep,2023,9160
Tandes,2023,11344
Sukomanunggal,2023,11589
Sawahan,2023,16152
Tegalsari,2023,9118
Genteng,2023,5959
Tambaksari,2023,20786
Kenjeran,2023,9943
Bulak,2023,4334
Simokerto,2023,5368
Semampir,2023,6914
Pabean Cantian,2023,4912
Bubutan,2023,7899
Krembangan,2023,7406
Asemrowo,2023,2697
Benowo,2023,6257
Pakal,2023,7303
Karangpilang,2024,11884
Jambangan,2024,13572
Gayungan,2024,26275
Wonocolo,2024,19609
Tenggilis Mejoyo,2024,9205
Gunung Anyar,2024,16924
Rungkut,2024,6028
Sukolilo,2024,22536
Mulyorejo,2024,23045
Gubeng,2024,21395
Wonokromo,2024,5475
Dukuh Pakis,2024,4956
Wiyung,2024,8027
Lakarsantri,2024,11496
Sambikerep,2024,7594
Tandes,2024,7319
Sukomanunggal,2024,10298
Sawahan,2024,8606
Tegalsari,2024,6880
Genteng,2024,13676
Tambaksari,2024,9352
Kenjeran,2024,9897
Bulak,2024,11478
Simokerto,2024,10754
Semampir,2024,14057
Pabean Cantian,2024,17822
Bubutan,2024,12004
Krembangan,2024,2686
Asemrowo,2024,4500
Benowo,2024,7979
Pakal,2024,9551
Karangpilang,2025,12085
Jambangan,2025,11682
Gayungan,2025,10014
Wonocolo,2025,13664
Tenggilis Mejoyo,2025,10918
Gunung Anyar,2025,14486
Rungkut,2025,27051
Sukolilo,2025,23289
Mulyorejo,2025,18098
Gubeng,2025,22532
Wonokromo,2025,19683
Dukuh Pakis,2025,9517
Wiyung,2025,14107
Lakarsantri,2025,8881
Sambikerep,2025,9980
Tandes,2025,11666
Sukomanunggal,2025,12172
Sawahan,2025,17278
Tegalsari,2025,9115
Genteng,2025,6030
Tambaksari,2025,22171
Kenjeran,2025,9792
Bulak,2025,4643
Simokerto,2025,5325
Semampir,2025,7375
Pabean Cantian,2025,5051
Bubutan,2025,8130
Krembangan,2025,7780
Asemrowo,2025,2773
Benowo,2025,7365
Pakal,2025,8413
