Kecamatan,Tahun,X1,X2,X3,X4,X5,X6
TAMBAKSARI,2023,8.658340492081324,25.55295442043725,22.452616231977967,5.376334721036772,36.66498284241147,42.34963596570992
WONOKROMO,2023,7.724765315010161,27.068295391449197,21.16452786822448,6.609362736410359,46.10603336962301,40.107208070435526
SUKOMANUNGGAL,2023,3.254251522149905,22.681789754960487,27.445066781559674,4.399499582985821,40.948896807946014,43.04279571360317
SEMAMPIR,2023,8.318756819889126,25.608862377503197,38.582089552238806,2.944925497780317,18.854116302580103,46.83182506199478
GUBENG,2023,7.184389106454217,27.35996618051152,17.762237762237763,7.306462679376943,49.0489189938833,42.47806457108783
SIMOKERTO,2023,10.450675959992664,29.11943133770452,25.49846625766871,5.600652836833742,28.696903320018897,45.737153280080506
SAWAHAN,2023,6.68268651924389,27.170352170352167,23.159784560143628,5.520809586583541,37.13413485841156,42.01665704861037
TEGALSARI,2023,11.0682791378907,28.31023808835016,17.861557478368358,6.48652982681206,44.7281911481719,42.7179956161361
KREMBANGAN,2023,9.982656954561222,26.310794171967988,28.50574712643678,4.495504495504496,28.674773502359702,44.07976111645573
KENJERAN,2023,3.1687810259238827,19.93167899748664,27.2113676731794,3.1248959293096368,25.365496264556025,43.35075470653816
GENTENG,2023,7.539750093629771,29.90658659803641,22.49637155297533,6.898508160064079,40.483262690651806,45.50543707116495
WONOCOLO,2023,6.887455304678319,23.825202035318764,24.162340726757904,5.2283550050581065,45.72775049964224,42.832142857142856
SUKOLILO,2023,3.792387423001069,22.817299390387483,24.984384759525295,5.491716118409769,44.31619387370082,42.84703692212224
DUKUH PAKIS,2023,5.29799099643889,24.15420928402833,23.99497487437186,5.289739500265815,46.18221690590112,43.30902000433307
PABEAN CANTIAN,2023,14.078399785206066,28.36116504854369,31.611454239191467,4.737962223995743,30.91779728651237,45.61626429479034
BUBUTAN,2023,4.372230732063368,26.962879971695607,20.54998141954664,5.475521914296179,37.10983599886053,43.16011008580217
KARANG PILANG,2023,8.037368337479489,22.031422706458237,19.09671084928817,5.330925649682029,46.97600167491037,40.58599200074411
SAMBIKEREP,2023,6.811592069823234,19.92834751455441,26.3353115727003,3.941520467836257,41.37426900584795,41.1949293433084
ASEM ROWO,2023,7.511140727166715,20.734440928270043,41.5211970074813,3.367766859830352,21.90308222054254,43.61075391010497
MULYOREJO,2023,2.8187674174242767,24.096669019528758,23.689475790316123,5.610057245482096,47.540689190706026,42.77607462005088
BULAK,2023,3.1561955736799625,21.820440724514484,23.084994753410285,4.026363597955132,32.79394989226414,41.82606862065849
WIYUNG,2023,1.8097081028045023,20.271577081150777,19.757842597688494,4.794068758080262,45.98031714202792,39.09657895708012
RUNGKUT,2023,1.1989404712114875,21.4010989010989,20.360308836145265,5.662515990090192,49.20899655099827,41.16809446631164
TENGGILIS MEJOYO,2023,2.5868791320562807,22.925238334169592,22.364411943936624,5.470729430590746,47.753033737831714,42.05557963685402
TANDES,2023,1.885294053654185,24.09235565369877,18.590272052761748,5.193192764636626,42.27978165471476,43.90469182961003
JAMBANGAN,2023,3.418819188191882,21.265751890226827,20.61122956645345,5.140101559931319,50.98089358126621,42.48908985751091
PAKAL,2023,2.458741927768476,18.675968680987754,26.908249807247493,4.160384923817161,40.3560545308741,39.45653865824642
GUNUNG ANYAR,2023,1.572321936165029,21.07709806636665,19.257950530035338,5.457525793076849,49.18844213029923,41.52222886304078
GAYUNGAN,2023,1.5659446805609218,23.711687436847424,19.628836545324766,6.222794705516567,52.16309851647864,41.635280862707226
LAKARSANTRI,2023,1.6249882925915518,19.13798035663202,22.769516728624534,3.357568571161107,38.54963023059881,40.19170168067227
BENOWO,2023,1.1131421711728915,19.565125069010914,27.24832214765101,4.058950121223679,37.10261788662181,39.54010735904367
ASEM ROWO,2024,0.9152146761941812,20.93988926970736,42.55842558425584,3.3588101631894234,24.47015079529023,43.6246544727401
BENOWO,2024,0.2882575100423044,19.702118732955736,27.839789888378203,4.063825813165408,40.40077914454199,39.208218770899904
BUBUTAN,2024,0.7341992058239577,27.394917644235093,20.84413180303591,5.53687835677094,39.80771596080522,42.99191175383342
BULAK,2024,0.55812203432346,21.927993738585965,23.4020618556701,4.0346061059812,35.982863322518924,41.28887444992469
DUKUH PAKIS,2024,2.525907827112646,24.623240134840373,23.588456712672524,5.314041872249634,49.06320842779037,43.06549986740917
GAYUNGAN,2024,0.5040368562696711,24.10025268046165,18.990042674253203,6.263643248541008,54.728917004499486,41.42958518805238
GENTENG,2024,1.8809262058540608,30.134721073877728,22.416302765647742,6.9393939393939394,43.18181818181818,45.12638978910106
GUBENG,2024,1.1429046244957777,27.710635731058403,18.154219793564057,7.295573339633228,51.71573694002304,42.12006699016619
GUNUNG ANYAR,2024,0.1972987712938308,21.42295983501915,19.618055555555557,5.475805684951041,51.88706150774789,40.91453628986687
JAMBANGAN,2024,3.034383531321479,21.588917161436243,20.59035277177826,5.072304995617879,53.04192229038854,42.05754415387034
KARANG PILANG,2024,3.532309974438102,22.432024169184288,19.950124688279303,5.247042813775777,49.98168114728357,40.327107146176
KENJERAN,2024,2.3195570282901765,20.33910229351344,27.56320224719101,3.092324563784623,27.94058567411156,43.10958703090124
KREMBANGAN,2024,6.149774519875333,26.62440983905887,28.46094354215004,4.476216852454476,31.562002354081564,43.882855460774365
LAKARSANTRI,2024,0.6044944857182409,19.51081577831189,22.064056939501786,3.4493340698459463,41.98428773092739,39.64472892860211
MULYOREJO,2024,0.8150633686262951,24.61212976022567,24.27951046190288,5.635400907715582,50.253626412743614,42.69492073762537
PABEAN CANTIAN,2024,5.053360565933099,28.91847976855705,31.21869782971619,4.824290584982148,33.5740556793471,45.29321594214292
PAKAL,2024,1.1811206696117182,19.04948746873314,26.67161961367013,4.188188437363868,43.51857614039455,39.13990553626502
RUNGKUT,2024,0.0485228825827112,21.73622125297383,20.3224909646928,5.744079462161256,51.963398859807405,41.064604081818906
SAMBIKEREP,2024,3.601829868550582,20.23619957537155,26.666666666666668,4.011271817580584,44.30514420450298,40.75311761349743
SAWAHAN,2024,2.670817465594713,27.588560912989923,23.14748201438849,5.535532944385815,40.22122219788535,41.57567804648443
SEMAMPIR,2024,4.4354728716004255,26.03942126955112,39.4610557401255,2.9616591413484348,21.39741333129257,46.70524487558127
SIMOKERTO,2024,4.60258318215888,29.513162414514564,25.995316159250585,5.53371635923798,31.061816925137155,45.705919594808485
SUKOLILO,2024,2.078282850068586,23.128520896109,25.00772797527048,5.500204026115343,47.194640914037,42.79044556955788
SUKOMANUNGGAL,2024,1.1145671332296527,23.25889641262066,27.21518987341772,4.520571461269957,43.77706143780876,43.150054282848
TAMBAKSARI,2024,2.1416143596520207,25.942768555002903,22.749273959341725,5.402625477240633,39.86506511392759,42.0664322098597
TANDES,2024,2.358798919201604,24.58909043284657,18.60272840016536,5.181535825211523,45.43429367034379,43.24016417747398
TEGALSARI,2024,5.909076924654654,28.842756183745585,18.176197836166924,6.537202441094451,46.74857535464576,42.63292620492942
TENGGILIS MEJOYO,2024,0.4785176135206678,23.27403214394016,23.10975609756097,5.475792988313857,50.220367278798,41.7793388827407
WIYUNG,2024,0.7660030587835454,20.630932439977663,20.04310344827586,4.826546003016592,49.22244759972955,39.08766953928948
WONOCOLO,2024,3.306094909663393,24.12518853695324,24.84763244256915,5.260302350242916,48.30452045673137,42.477702810959
WONOKROMO,2024,3.338694867904378,27.57691147639873,21.78619756427605,6.609004497138185,48.57292518397384,39.83790921094568
ASEM ROWO,2025,0.7594833056971484,21.043189368770765,41.97994987468672,3.2976569279722305,28.711930245051448,43.88936345695013
BENOWO,2025,0.258862063500449,19.704864729667765,27.91777188328912,3.976898124950552,44.84822911996624,38.67145290379297
BUBUTAN,2025,0.7349092355687695,27.516716765842585,20.465640255351108,5.519399767866026,43.92720941800696,42.94778743845682
BULAK,2025,0.527868988736024,22.230215827338128,23.439099283520985,4.03785749710696,40.48603074888411,40.980340452960654
DUKUH PAKIS,2025,2.159330911548534,24.605,23.390694710006372,5.248193738292748,52.84653465346535,42.838180282369976
GAYUNGAN,2025,0.4645814167433302,24.28858270442429,19.023689877961232,6.263489208633094,58.893884892086334,40.94917012448133
GENTENG,2025,1.5544493930661076,30.41132505073504,22.42808386153096,7.014603782619104,47.68972947091214,44.780761644666974
GUBENG,2025,0.7929004909883809,27.775224840806143,17.853478350092345,7.262403314505432,55.1200464984575,42.16778668978973
GUNUNG ANYAR,2025,0.1898865467775136,21.388671109368875,18.9873417721519,5.479365679876415,55.4115829628929,40.47565677396216
JAMBANGAN,2025,2.864794975988179,21.71071327081557,20.69214131218457,5.069073898106864,56.63694174402456,41.44264179533401
KARANG PILANG,2025,3.29146932041935,22.61899995996637,20.404040404040405,5.208470340655005,53.73142180718138,40.33345157857397
KENJERAN,2025,2.1590964020430854,20.49271131899629,27.127474817645016,3.1080307888287937,32.42327082726085,42.97814501389934
KREMBANGAN,2025,5.917113003775573,26.794105933890883,28.30414012738853,4.382338061094538,35.96587638038415,43.80232073637293
LAKARSANTRI,2025,0.5511702826083638,19.59275593506615,21.91659272404614,3.4329403880715224,46.82750007615218,39.20426770950671
MULYOREJO,2025,0.7380703270709184,24.686446392447746,24.178868223189557,5.639743790032807,54.28169705626353,42.229554865424426
PABEAN CANTIAN,2025,3.806634025239639,29.177168875518333,31.20322394933794,4.750834199442044,37.98205787429572,44.87960835248276
PAKAL,2025,1.0480416156670749,18.869209809264305,26.95457930007446,4.116222760290557,48.07061636068287,39.03904541497696
RUNGKUT,2025,0.0427571073606763,21.718489796932865,19.78206202849958,5.693151992364591,55.11811023622048,40.65290653473885
SAMBIKEREP,2025,3.4505058634168773,20.51124114567293,25.939050318922757,4.0207448778958765,48.64787849428661,40.233776702942365
SAWAHAN,2025,2.3890941055123958,27.694741600120537,22.835360319477218,5.529903033466503,44.2372166790468,41.299915282225065
SEMAMPIR,2025,4.261452722961561,26.20111829766349,39.0142964635064,2.9311219426126462,25.813281577380295,46.86505179128355
SIMOKERTO,2025,3.375136494490586,29.59518425327261,25.736183945139167,5.439863070812578,35.162713128963595,45.58958135949769
SUKOLILO,2025,1.9354170979093357,23.251527280387613,24.9063670411985,5.44444255637309,51.37385512073273,42.602021990996974
SUKOMANUNGGAL,2025,0.9261693984281416,23.437317101720705,26.89328743545611,4.494816648615195,47.84929599257311,42.5629989586949
TAMBAKSARI,2025,2.0793222949557184,26.104968765519228,23.021933387489845,5.385611535971161,43.94851512871218,41.99551273591131
TANDES,2025,0.0021978263497401,24.66896186440678,19.001677852348998,5.147360466371586,50.029148224117456,42.47757127871111
TEGALSARI,2025,5.781560106819622,29.11327831957989,17.923635216156516,6.4808376620720685,50.43560063806291,42.72769068770671
TENGGILIS MEJOYO,2025,0.3103418876289538,23.39273859980596,22.760736196319016,5.463381933970169,53.54114295290766,41.48712876064561
WIYUNG,2025,0.7320567930181061,20.59502028478244,19.945799457994585,4.778183513324528,53.18157097350633,38.89743265003347
WONOCOLO,2025,3.055450773293097,24.229007633587788,24.771963514162262,5.167452245100471,51.73902257504341,41.97222321396694
WONOKROMO,2025,3.021686206464297,27.5969974466778,21.42435569545544,6.581554039181158,52.06717509808237,39.52574263805658
