Kecamatan,PERSENTASE_CERAI_HIDUP,Persentase Keluarga Miskin,PERSENTASE_KEPALA_KELUARGA_PEREMPUAN,PERSENTASE_TIDAK_BELUM_TAMAT_SD,PERSENTASE_KEPALA_KELUARGA_PEREMPUAN_BEKERJA,PERSENTASE_PEREMPUAN_SMA_KE_ATAS
karang pilang,7.598382641418793,4.271356783919598,21.548566376152582,1.0969214139877497,38.68698710433763,49.981681147283574
wonocolo,7.080152671755726,4.05012930177044,23.039275168871093,1.213740458015267,36.56952247191011,48.30452045673137
rungkut,7.038997837596003,0.08002684771665333,20.343779478042133,0.8028235528049115,46.09737248840804,51.963398859807405
wonokromo,8.3856476415366,4.534781016394149,26.145541368213433,0.8274299756186527,40.36369411577861,48.57292518397384
tegalsari,8.018004501125281,6.330063300633006,27.1738767886328,1.2243060765191298,38.89775377439548,46.74857535464576
sawahan,8.25222238963387,2.8968730985560156,26.202542025420257,0.929636884134398,34.480816173249046,40.221222197885346
genteng,7.736474780973122,2.1863816853767344,27.804932861396708,1.3760332623867741,41.44271570014144,43.18181818181818
gubeng,7.853563535307119,1.5216098334655035,25.825668398227137,0.805269261909451,44.96217014209264,51.715736940023035
sukolilo,7.7022329892563715,2.521250540267973,21.58994872950589,0.8874025700442385,41.805845511482254,47.194640914036995
tambaksari,8.076531012310829,2.2711711129771976,24.39323467230444,1.1356804934786586,35.56364476801294,39.865065113927585
simokerto,6.764977545625378,4.983301682928427,27.103074141048822,1.9396757652004968,33.07979717107019,31.061816925137155
pabean cantian,7.386779412960403,6.038996208701932,27.26653343023256,1.670867550207334,28.93553223388306,33.5740556793471
bubutan,7.404453714496043,1.1769663766894434,25.63825840612458,1.4201582724986197,35.03025519600105,39.80771596080522
tandes,7.67677436440678,2.071999462690577,23.574557560890135,1.1155985169491525,35.43927456518507,45.43429367034379
krembangan,7.765830346475508,6.490239748460631,25.305097948703153,1.4416567104739149,28.639835822597192,31.562002354081564
semampir,5.959580024890011,4.490506820259014,24.648222548030237,2.6975863700899194,20.53302433371958,21.39741333129257
kenjeran,6.212523518964638,2.4271844660194173,19.407524840083322,2.370359950060666,27.34612462006079,27.940585674111556
lakarsantri,7.309749460448531,1.045668984971548,18.356056115392214,1.337149291545463,30.328310010764266,41.98428773092739
benowo,6.8656467547626,0.31404812455767867,18.877661650548593,0.9295927300012505,34.642775097633816,40.400779144541985
wiyung,7.2547927770264895,1.0111181036291168,19.31127050039847,0.9983294885052899,40.073848827106865,49.22244759972955
dukuh pakis,7.885000000000001,3.1335287577074697,23.047085443378947,1.18,36.67601683029453,49.06320842779037
gayungan,7.228415149207229,0.8189133376059248,22.732313151474827,0.9970227792009969,45.30081300813008,54.728917004499486
jambangan,7.7806194941744815,4.15335463258786,20.71751009741031,0.7843137254901961,39.76490825688073,53.04192229038854
tenggilis mejoyo,7.097993157330337,0.6366936609885507,22.189733593242362,1.3174692335188685,39.77550024402147,50.220367278797994
gunung anyar,6.717953743629949,0.3178544822448473,20.05677419354839,1.0143081144649158,44.7246525990736,51.88706150774789
mulyorejo,7.666891436277814,1.1274509803921569,22.57946790263129,0.9136884693189481,40.84370454178116,50.253626412743614
sukomanunggal,7.152054313473019,1.003184713375796,22.089868720571268,1.5714620156853563,32.80632411067194,43.77706143780876
asem rowo,6.6578073089701,1.1522134627046696,20.16724738675958,2.8903654485049834,27.574291637871458,24.47015079529023
bulak,7.3577501635055595,0.8436593725283418,20.995656071157693,1.1772400261608895,32.085385878489326,35.982863322518924
pakal,6.549240949785909,1.4626218851570965,17.957191519650213,1.0412611911249514,38.0237825594564,43.51857614039455
sambikerep,7.153856306920674,3.9163014279655024,19.09382108537208,0.8711337938316688,34.30585946997326,44.30514420450298
